id,date,desc,details
2400,2011/07/25,I spent 5 minutes watching news on TV today.,I spent 5 minutes watching news on TV today.
2401,2011/07/26,I did weight lifting on 2011/07/26.,I did weight lifting on 2011/07/26.
2402,2011/07/26,I ate oatmeal for breakfast.,I ate oatmeal for breakfast.
2403,2011/07/26,"I had dinner with Nora, Hazel, Lydia, Claire, Eva, Rylee, Avery, Nevaeh. I ate fish and chips.","I had dinner with Nora, Hazel, Lydia, Claire, Eva, Rylee, Avery, Nevaeh. I ate fish and chips."
2404,2011/07/26,I talked to Kinsley for 14 minutes during lunch hours.,I talked to Kinsley for 14 minutes during lunch hours.
2405,2011/07/27,"I had dinner with Andrew, Kayden. I ate sushi.","I had dinner with Andrew, Kayden. I ate sushi."
2406,2011/07/27,I spent 22 minutes on social media today.,I spent 22 minutes on social media today.
2407,2011/07/28,I did running on 2011/07/28.,I did running on 2011/07/28.
2408,2011/07/28,"I had lunch with Andrew, Kayden, Carter. I ate a burger.","I had lunch with Andrew, Kayden, Carter. I ate a burger."
2409,2011/07/28,"I had chinese food for dinner with Kayden, Emily, Andrew","I had chinese food for dinner with Kayden, Emily, Andrew"
2410,2011/07/28,"I spent 28 talking to Eva, Rylee, Nora on various topics in the early evening.","I spent 28 talking to Eva, Rylee, Nora on various topics in the early evening."
2411,2011/07/28,I spent 22 minutes on a book today.,I spent 22 minutes on a book today.
2412,2011/07/28,I watched a tv series for 6 minutes on TV today.,I watched a tv series for 6 minutes on TV today.
2413,2011/07/29,I spent some time meditation on 2011/07/29.,I spent some time meditation on 2011/07/29.
2414,2011/07/29,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
2415,2011/07/29,I prepare chinese food for lunch.,I prepare chinese food for lunch.
2416,2011/07/29,I had dinner. I ate fish and chips.,I had dinner. I ate fish and chips.
2417,2011/07/29,I spent 22 minutes reading social media today.,I spent 22 minutes reading social media today.
2418,2011/07/30,I had lunch. I ate steak.,I had lunch. I ate steak.
2419,2011/07/30,I had dinner. I ate fish and chips.,I had dinner. I ate fish and chips.
2420,2011/07/30,"I talked to Claire, Nevaeh, Lydia, Avery for 29 minutes in the early evening.","I talked to Claire, Nevaeh, Lydia, Avery for 29 minutes in the early evening."
2421,2011/07/30,"I talked to Layla, Avery, Nevaeh for 9 minutes in the morning.","I talked to Layla, Avery, Nevaeh for 9 minutes in the morning."
2422,2011/07/30,I spent 37 minutes reading social media today.,I spent 37 minutes reading social media today.
2423,2011/07/30,I spent 39 minutes watching a tv series on TV today.,I spent 39 minutes watching a tv series on TV today.
2424,2011/07/31,"I had lunch with Olivia, Rylee, Nora, Eva, Piper, Lydia. I ate sandwich.","I had lunch with Olivia, Rylee, Nora, Eva, Piper, Lydia. I ate sandwich."
2425,2011/07/31,"I spent 13 talking to Kinsley, Nevaeh, Claire on various topics in the early evening.","I spent 13 talking to Kinsley, Nevaeh, Claire on various topics in the early evening."
2426,2011/08/01,"I bought some watermelons, peaches, mandarins, oranges, mineral water, pineapple juice, sports drinks, mouthwash, conditioner, toothpaste, paper towel from the grocery store. I saw Layla, Rylee, Hazel, Kinsley, Olivia, Lydia at the grocery store.","I bought some watermelons, peaches, mandarins, oranges, mineral water, pineapple juice, sports drinks, mouthwash, conditioner, toothpaste, paper towel from the grocery store. I saw Layla, Rylee, Hazel, Kinsley, Olivia, Lydia at the grocery store."
2427,2011/08/01,I did swimming on 2011/08/01.,I did swimming on 2011/08/01.
2428,2011/08/01,I ate peanut-butter-jam for breakfast.,I ate peanut-butter-jam for breakfast.
2429,2011/08/01,I had lunch. I ate pasta.,I had lunch. I ate pasta.
2430,2011/08/01,I spent 10 minutes reading news today.,I spent 10 minutes reading news today.
2431,2011/08/01,I spent 9 minutes watching news on TV today.,I spent 9 minutes watching news on TV today.
2432,2011/08/02,"I had lunch with Jackson, Avery, Benjamin, Willow. I ate pasta.","I had lunch with Jackson, Avery, Benjamin, Willow. I ate pasta."
2433,2011/08/02,I spent 26 minutes on a book today.,I spent 26 minutes on a book today.
2434,2011/08/02,I spent 20 minutes watching a documentary on TV today.,I spent 20 minutes watching a documentary on TV today.
2435,2011/08/03,I did swimming on 2011/08/03.,I did swimming on 2011/08/03.
2436,2011/08/03,I ate indian food for lunch.,I ate indian food for lunch.
2437,2011/08/03,I spent 43 talking to Avery on various topics during lunch hours.,I spent 43 talking to Avery on various topics during lunch hours.
2438,2011/08/03,I spent 6 minutes reading social media today.,I spent 6 minutes reading social media today.
2439,2011/08/04,I went on a date with David on 2011/08/04 at a restaurant,I went on a date with David on 2011/08/04 at a restaurant
2440,2011/08/04,I prepare toast and cheese for breakfast.,I prepare toast and cheese for breakfast.
2441,2011/08/04,I had lunch. I ate pasta.,I had lunch. I ate pasta.
2442,2011/08/04,"I had dinner with Avery, Jackson, Willow, Benjamin. I ate fish and chips.","I had dinner with Avery, Jackson, Willow, Benjamin. I ate fish and chips."
2443,2011/08/05,I spent some time gardening on 2011/08/05.,I spent some time gardening on 2011/08/05.
2444,2011/08/05,I did swimming on 2011/08/05.,I did swimming on 2011/08/05.
2445,2011/08/05,"I had sushi for dinner with Kayden, Carter, Emily","I had sushi for dinner with Kayden, Carter, Emily"
2446,2011/08/05,I spent 35 talking to Avery on various topics in the early evening.,I spent 35 talking to Avery on various topics in the early evening.
2447,2011/08/05,"I talked to Piper, Nevaeh, Rylee for 6 minutes in the early afternoon.","I talked to Piper, Nevaeh, Rylee for 6 minutes in the early afternoon."
2448,2011/08/05,I spent 47 minutes reading a book today.,I spent 47 minutes reading a book today.
2449,2011/08/06,"I spent time learning a language on 2011/08/06 with Willow, Benjamin.","I spent time learning a language on 2011/08/06 with Willow, Benjamin."
2450,2011/08/06,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
2451,2011/08/06,I had dinner. I ate fish and chips.,I had dinner. I ate fish and chips.
2452,2011/08/06,I spent 31 talking to Nevaeh on various topics in the early evening.,I spent 31 talking to Nevaeh on various topics in the early evening.
2453,2011/08/06,I spent 10 minutes watching a movie on TV today.,I spent 10 minutes watching a movie on TV today.
2454,2011/08/07,I went on a date with Hailey on 2011/08/07 at a coffee Shop,I went on a date with Hailey on 2011/08/07 at a coffee Shop
2455,2011/08/07,I ate chinese food for lunch.,I ate chinese food for lunch.
2456,2011/08/07,I ate sushi for dinner.,I ate sushi for dinner.
2457,2011/08/07,I spent 47 talking to Kinsley on various topics in the early afternoon.,I spent 47 talking to Kinsley on various topics in the early afternoon.
2458,2011/08/07,I spent 27 minutes watching news on TV today.,I spent 27 minutes watching news on TV today.
2459,2011/08/08,"I went grocery shopping with Andrew, Carter. I bought some pears, pineapples, mango juice, coffee, apple juice, tea, and shaving cream, toothpaste","I went grocery shopping with Andrew, Carter. I bought some pears, pineapples, mango juice, coffee, apple juice, tea, and shaving cream, toothpaste"
2460,2011/08/08,I did hiking on 2011/08/08.,I did hiking on 2011/08/08.
2461,2011/08/08,"I had tacos for lunch with Willow, Jackson","I had tacos for lunch with Willow, Jackson"
2462,2011/08/08,"I had pasta for dinner with Nora, Eva, Claire, Rylee, Lydia, Piper, Olivia, Avery, Hazel, Piper, Layla","I had pasta for dinner with Nora, Eva, Claire, Rylee, Lydia, Piper, Olivia, Avery, Hazel, Piper, Layla"
2463,2011/08/08,I spent 49 minutes watching a tv series on TV today.,I spent 49 minutes watching a tv series on TV today.
2464,2011/08/09,I ate toast and cheese for breakfast.,I ate toast and cheese for breakfast.
2465,2011/08/09,I had dinner. I ate a burger.,I had dinner. I ate a burger.
2466,2011/08/09,I spent 27 minutes on news today.,I spent 27 minutes on news today.
2467,2011/08/10,"I ate eggs, sausages, and bread for breakfast.","I ate eggs, sausages, and bread for breakfast."
2468,2011/08/10,"I had steak for dinner with Carter, Kayden, Emily, Andrew","I had steak for dinner with Carter, Kayden, Emily, Andrew"
2469,2011/08/10,"I talked to Eva, Lydia, Layla for 42 minutes in the early evening.","I talked to Eva, Lydia, Layla for 42 minutes in the early evening."
2470,2011/08/10,"I talked to Hazel, Piper, Claire, Eva for 49 minutes late in the evening.","I talked to Hazel, Piper, Claire, Eva for 49 minutes late in the evening."
2471,2011/08/11,I did running on 2011/08/11.,I did running on 2011/08/11.
2472,2011/08/11,I ate a burger for dinner.,I ate a burger for dinner.
2473,2011/08/11,"I spent 30 talking to Olivia, Avery on various topics in the morning.","I spent 30 talking to Olivia, Avery on various topics in the morning."
2474,2011/08/11,I spent 23 talking to Eva on various topics in the late afternoon.,I spent 23 talking to Eva on various topics in the late afternoon.
2475,2011/08/11,I spent 45 minutes on news today.,I spent 45 minutes on news today.
2476,2011/08/11,I watched a tv series for 13 minutes on TV today.,I watched a tv series for 13 minutes on TV today.
2477,2011/08/12,"On 2011/08/12, I took Axel on a date to a restaurant","On 2011/08/12, I took Axel on a date to a restaurant"
2478,2011/08/12,I did running on 2011/08/12.,I did running on 2011/08/12.
2479,2011/08/12,I prepare steak for lunch.,I prepare steak for lunch.
2480,2011/08/12,"I spent 17 talking to Claire, Eva, Nevaeh, Piper on various topics in the morning.","I spent 17 talking to Claire, Eva, Nevaeh, Piper on various topics in the morning."
2481,2011/08/12,I watched news for 52 minutes on TV today.,I watched news for 52 minutes on TV today.
2482,2011/08/13,I did running on 2011/08/13.,I did running on 2011/08/13.
2483,2011/08/13,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
2484,2011/08/14,I did running on 2011/08/14.,I did running on 2011/08/14.
2485,2011/08/14,I prepare peanut-butter-jam for breakfast.,I prepare peanut-butter-jam for breakfast.
2486,2011/08/14,"I spent 6 talking to Lydia, Kinsley on various topics late in the evening.","I spent 6 talking to Lydia, Kinsley on various topics late in the evening."
2487,2011/08/14,I spent 36 minutes watching news on TV today.,I spent 36 minutes watching news on TV today.
2488,2011/08/15,"On 2011/08/15, I took Layla on a date to a park","On 2011/08/15, I took Layla on a date to a park"
2489,2011/08/15,"I bought some guava, pears, watermelons, tea, apple juice, guava juice, coffee, paper towel, shampoo online.","I bought some guava, pears, watermelons, tea, apple juice, guava juice, coffee, paper towel, shampoo online."
2490,2011/08/15,I had chinese food for lunch with Kayden,I had chinese food for lunch with Kayden
2491,2011/08/15,"I had dinner with Carter, Kayden. I ate steak.","I had dinner with Carter, Kayden. I ate steak."
2492,2011/08/15,I spent 53 talking to Piper on various topics late in the evening.,I spent 53 talking to Piper on various topics late in the evening.
2493,2011/08/16,"I had sandwich for dinner with Avery, Jackson","I had sandwich for dinner with Avery, Jackson"
2494,2011/08/16,I spent 32 talking to Hazel on various topics in the early evening.,I spent 32 talking to Hazel on various topics in the early evening.
2495,2011/08/16,I spent 44 minutes watching a tv series on TV today.,I spent 44 minutes watching a tv series on TV today.
2496,2011/08/17,I did running on 2011/08/17.,I did running on 2011/08/17.
2497,2011/08/17,I had lunch. I ate a burger.,I had lunch. I ate a burger.
2498,2011/08/17,I prepare indian food for dinner.,I prepare indian food for dinner.
2499,2011/08/18,I had pasta for dinner with Kayden,I had pasta for dinner with Kayden
2500,2011/08/18,"I spent 20 talking to Nora, Eva, Olivia, Nevaeh on various topics in the early afternoon.","I spent 20 talking to Nora, Eva, Olivia, Nevaeh on various topics in the early afternoon."
2501,2011/08/18,"I spent 13 talking to Claire, Nora on various topics in the late afternoon.","I spent 13 talking to Claire, Nora on various topics in the late afternoon."
2502,2011/08/19,"On 2011/08/19, I took Valentina on a date to a boba shop","On 2011/08/19, I took Valentina on a date to a boba shop"
2503,2011/08/19,I did swimming on 2011/08/19.,I did swimming on 2011/08/19.
2504,2011/08/19,"I had dinner with Hazel, Claire, Lydia, Piper. I ate pasta.","I had dinner with Hazel, Claire, Lydia, Piper. I ate pasta."
2505,2011/08/20,"I had eggs, sausages, and bread for breakfast with Carter, Andrew, Kayden, Emily","I had eggs, sausages, and bread for breakfast with Carter, Andrew, Kayden, Emily"
2506,2011/08/20,I had lunch with Carter. I ate tacos.,I had lunch with Carter. I ate tacos.
2507,2011/08/20,"I had dinner with Nora, Lydia, Nevaeh, Avery, Layla, Hazel, Eva, Piper, Piper, Rylee. I ate sandwich.","I had dinner with Nora, Lydia, Nevaeh, Avery, Layla, Hazel, Eva, Piper, Piper, Rylee. I ate sandwich."
2508,2011/08/20,I spent 11 talking to Hazel on various topics in the early evening.,I spent 11 talking to Hazel on various topics in the early evening.
2509,2011/08/21,I did running on 2011/08/21.,I did running on 2011/08/21.
2510,2011/08/21,I prepare cereals for breakfast.,I prepare cereals for breakfast.
2511,2011/08/21,"I had dinner with Nora, Olivia, Claire, Rylee, Kinsley, Piper, Nevaeh, Lydia, Hazel, Layla, Avery, Piper. I ate steak.","I had dinner with Nora, Olivia, Claire, Rylee, Kinsley, Piper, Nevaeh, Lydia, Hazel, Layla, Avery, Piper. I ate steak."
2512,2011/08/21,"I talked to Lydia, Rylee for 52 minutes in the morning.","I talked to Lydia, Rylee for 52 minutes in the morning."
2513,2011/08/21,I spent 17 minutes on a book today.,I spent 17 minutes on a book today.
2514,2011/08/22,I did hiking on 2011/08/22.,I did hiking on 2011/08/22.
2515,2011/08/22,"I had oatmeal for breakfast with Olivia, Nora, Piper, Layla, Claire, Lydia, Hazel","I had oatmeal for breakfast with Olivia, Nora, Piper, Layla, Claire, Lydia, Hazel"
2516,2011/08/22,I spent 20 minutes on a book today.,I spent 20 minutes on a book today.
2517,2011/08/23,"I bought some raspberries, chocolate milk, pineapple juice, sports drinks, orange juice, mouthwash, mouth wash online.","I bought some raspberries, chocolate milk, pineapple juice, sports drinks, orange juice, mouthwash, mouth wash online."
2518,2011/08/23,I did hiking on 2011/08/23.,I did hiking on 2011/08/23.
2519,2011/08/23,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
2520,2011/08/23,I had lunch. I ate fish and chips.,I had lunch. I ate fish and chips.
2521,2011/08/23,"I spent 28 talking to Claire, Nevaeh on various topics in the late afternoon.","I spent 28 talking to Claire, Nevaeh on various topics in the late afternoon."
2522,2011/08/24,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2523,2011/08/24,"I spent 45 talking to Layla, Piper, Nevaeh, Hazel on various topics late in the evening.","I spent 45 talking to Layla, Piper, Nevaeh, Hazel on various topics late in the evening."
2524,2011/08/24,I spent 24 minutes reading a book today.,I spent 24 minutes reading a book today.
2525,2011/08/24,I watched a movie for 32 minutes on TV today.,I watched a movie for 32 minutes on TV today.
2526,2011/08/25,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2527,2011/08/25,"I had fish and chips for dinner with Andrew, Emily, Carter, Kayden","I had fish and chips for dinner with Andrew, Emily, Carter, Kayden"
2528,2011/08/26,I did weight lifting on 2011/08/26.,I did weight lifting on 2011/08/26.
2529,2011/08/26,I ate steak for lunch.,I ate steak for lunch.
2530,2011/08/26,I ate tacos for dinner.,I ate tacos for dinner.
2531,2011/08/26,"I talked to Claire, Eva for 34 minutes in the late afternoon.","I talked to Claire, Eva for 34 minutes in the late afternoon."
2532,2011/08/26,I spent 50 talking to Kinsley on various topics late in the evening.,I spent 50 talking to Kinsley on various topics late in the evening.
2533,2011/08/26,I spent 47 minutes watching a documentary on TV today.,I spent 47 minutes watching a documentary on TV today.
2534,2011/08/27,I prepare oatmeal for breakfast.,I prepare oatmeal for breakfast.
2535,2011/08/27,I had lunch with Kayden. I ate chinese food.,I had lunch with Kayden. I ate chinese food.
2536,2011/08/27,"I had sushi for dinner with Rylee, Piper, Lydia, Hazel, Layla, Olivia","I had sushi for dinner with Rylee, Piper, Lydia, Hazel, Layla, Olivia"
2537,2011/08/27,I watched news for 55 minutes on TV today.,I watched news for 55 minutes on TV today.
2538,2011/08/28,I spent 20 minutes on news today.,I spent 20 minutes on news today.
2539,2011/08/28,I watched a tv series for 24 minutes on TV today.,I watched a tv series for 24 minutes on TV today.
2540,2011/08/29,I did biking on 2011/08/29.,I did biking on 2011/08/29.
2541,2011/08/29,I had dinner with Andrew. I ate fish and chips.,I had dinner with Andrew. I ate fish and chips.
2542,2011/08/29,I spent 39 minutes on social media today.,I spent 39 minutes on social media today.
2543,2011/08/29,I spent 10 minutes watching a documentary on TV today.,I spent 10 minutes watching a documentary on TV today.
2544,2011/08/30,I prepare toast and cheese for breakfast.,I prepare toast and cheese for breakfast.
2545,2011/08/30,"I had fish and chips for lunch with Willow, Avery, Benjamin","I had fish and chips for lunch with Willow, Avery, Benjamin"
2546,2011/08/30,"I had chinese food for dinner with Willow, Benjamin, Jackson","I had chinese food for dinner with Willow, Benjamin, Jackson"
2547,2011/08/30,"I talked to Piper, Nevaeh, Layla, Kinsley for 32 minutes in the morning.","I talked to Piper, Nevaeh, Layla, Kinsley for 32 minutes in the morning."
2548,2011/08/30,I spent 30 minutes on news today.,I spent 30 minutes on news today.
2549,2011/08/31,I went on a date with Autumn on 2011/08/31 at a boba shop,I went on a date with Autumn on 2011/08/31 at a boba shop
2550,2011/08/31,I did biking on 2011/08/31.,I did biking on 2011/08/31.
2551,2011/08/31,I had indian food for lunch with Andrew,I had indian food for lunch with Andrew
2552,2011/08/31,"I talked to Kinsley, Rylee, Hazel for 8 minutes in the early evening.","I talked to Kinsley, Rylee, Hazel for 8 minutes in the early evening."
2553,2011/08/31,"I talked to Nora, Eva for 45 minutes in the early evening.","I talked to Nora, Eva for 45 minutes in the early evening."
2554,2011/08/31,I spent 50 minutes reading a book today.,I spent 50 minutes reading a book today.
2555,2011/09/01,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
2556,2011/09/01,"I spent 10 talking to Lydia, Nevaeh on various topics late in the evening.","I spent 10 talking to Lydia, Nevaeh on various topics late in the evening."
2557,2011/09/01,I spent 26 minutes on a book today.,I spent 26 minutes on a book today.
2558,2011/09/01,I spent 29 minutes watching a movie on TV today.,I spent 29 minutes watching a movie on TV today.
2559,2011/09/02,I had fish and chips for lunch with Jackson,I had fish and chips for lunch with Jackson
2560,2011/09/02,I spent 46 minutes reading a book today.,I spent 46 minutes reading a book today.
2561,2011/09/03,"I prepare eggs, sausages, and bread for breakfast.","I prepare eggs, sausages, and bread for breakfast."
2562,2011/09/03,I prepare a burger for lunch.,I prepare a burger for lunch.
2563,2011/09/03,I had tacos for dinner with Andrew,I had tacos for dinner with Andrew
2564,2011/09/03,"I talked to Piper, Nevaeh, Rylee for 14 minutes in the early evening.","I talked to Piper, Nevaeh, Rylee for 14 minutes in the early evening."
2565,2011/09/03,I spent 44 minutes on social media today.,I spent 44 minutes on social media today.
2566,2011/09/03,I watched news for 12 minutes on TV today.,I watched news for 12 minutes on TV today.
2567,2011/09/04,I went on a date with James on 2011/09/04 at a boba shop,I went on a date with James on 2011/09/04 at a boba shop
2568,2011/09/04,"I went grocery shopping with Kinsley, Nevaeh, Rylee, Avery, Piper, Layla. I bought some apples, apricots, mineral water, sports drinks, mango juice, guava juice, and paper towel","I went grocery shopping with Kinsley, Nevaeh, Rylee, Avery, Piper, Layla. I bought some apples, apricots, mineral water, sports drinks, mango juice, guava juice, and paper towel"
2569,2011/09/04,"I had dinner with Emily, Kayden, Andrew, Carter. I ate tacos.","I had dinner with Emily, Kayden, Andrew, Carter. I ate tacos."
2570,2011/09/04,"I talked to Lydia, Hazel, Piper, Avery for 46 minutes in the early evening.","I talked to Lydia, Hazel, Piper, Avery for 46 minutes in the early evening."
2571,2011/09/04,I watched news for 40 minutes on TV today.,I watched news for 40 minutes on TV today.
2572,2011/09/05,I ate a burger for lunch.,I ate a burger for lunch.
2573,2011/09/05,I prepare steak for dinner.,I prepare steak for dinner.
2574,2011/09/05,"I talked to Olivia, Piper, Piper, Nevaeh for 25 minutes during lunch hours.","I talked to Olivia, Piper, Piper, Nevaeh for 25 minutes during lunch hours."
2575,2011/09/05,I spent 25 minutes reading social media today.,I spent 25 minutes reading social media today.
2576,2011/09/06,I did weight lifting on 2011/09/06.,I did weight lifting on 2011/09/06.
2577,2011/09/06,I spent 11 minutes watching a tv series on TV today.,I spent 11 minutes watching a tv series on TV today.
2578,2011/09/07,"I went grocery shopping with Jackson. I bought some guava, mandarins, chocolate milk, guava juice, apple juice, milk, and mouth wash","I went grocery shopping with Jackson. I bought some guava, mandarins, chocolate milk, guava juice, apple juice, milk, and mouth wash"
2579,2011/09/07,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2580,2011/09/07,I had steak for lunch with Layla,I had steak for lunch with Layla
2581,2011/09/07,I prepare pasta for dinner.,I prepare pasta for dinner.
2582,2011/09/07,I watched a documentary for 43 minutes on TV today.,I watched a documentary for 43 minutes on TV today.
2583,2011/09/08,"I had breakfast with Emily, Andrew, Kayden, Carter. I ate peanut-butter-jam.","I had breakfast with Emily, Andrew, Kayden, Carter. I ate peanut-butter-jam."
2584,2011/09/08,I spent 50 minutes on news today.,I spent 50 minutes on news today.
2585,2011/09/08,I spent 26 minutes watching a tv series on TV today.,I spent 26 minutes watching a tv series on TV today.
2586,2011/09/09,I ate pancakes for breakfast.,I ate pancakes for breakfast.
2587,2011/09/09,I prepare sandwich for lunch.,I prepare sandwich for lunch.
2588,2011/09/09,I had sushi for dinner with Benjamin,I had sushi for dinner with Benjamin
2589,2011/09/09,"I spent 6 talking to Nora, Nevaeh, Olivia, Hazel on various topics during lunch hours.","I spent 6 talking to Nora, Nevaeh, Olivia, Hazel on various topics during lunch hours."
2590,2011/09/09,I spent 42 minutes on a book today.,I spent 42 minutes on a book today.
2591,2011/09/09,I watched a movie for 26 minutes on TV today.,I watched a movie for 26 minutes on TV today.
2592,2011/09/10,my parents for their and I went for an annual dental cleaning and checkup at the hospital on 2011/09/10.,my parents for their and I went for an annual dental cleaning and checkup at the hospital on 2011/09/10.
2593,2011/09/10,I did hiking on 2011/09/10.,I did hiking on 2011/09/10.
2594,2011/09/10,"I had breakfast with Emily, Kayden, Andrew. I ate eggs, sausages, and bread.","I had breakfast with Emily, Kayden, Andrew. I ate eggs, sausages, and bread."
2595,2011/09/10,"I had lunch with Avery, Benjamin, Jackson. I ate chinese food.","I had lunch with Avery, Benjamin, Jackson. I ate chinese food."
2596,2011/09/10,I ate fish and chips for dinner.,I ate fish and chips for dinner.
2597,2011/09/10,I spent 49 minutes on news today.,I spent 49 minutes on news today.
2598,2011/09/10,I spent 12 minutes watching a movie on TV today.,I spent 12 minutes watching a movie on TV today.
2599,2011/09/11,I ate cereals for breakfast.,I ate cereals for breakfast.
2600,2011/09/11,I prepare sushi for lunch.,I prepare sushi for lunch.
2601,2011/09/11,"I had dinner with Jackson, Benjamin, Avery, Willow. I ate indian food.","I had dinner with Jackson, Benjamin, Avery, Willow. I ate indian food."
2602,2011/09/11,"I talked to Nevaeh, Lydia, Nora, Claire for 44 minutes in the early afternoon.","I talked to Nevaeh, Lydia, Nora, Claire for 44 minutes in the early afternoon."
2603,2011/09/11,"I spent 13 talking to Nora, Claire, Nevaeh on various topics in the late afternoon.","I spent 13 talking to Nora, Claire, Nevaeh on various topics in the late afternoon."
2604,2011/09/11,I spent 25 minutes watching a tv series on TV today.,I spent 25 minutes watching a tv series on TV today.
2605,2011/09/12,I did biking on 2011/09/12.,I did biking on 2011/09/12.
2606,2011/09/12,I talked to Eva for 6 minutes in the early afternoon.,I talked to Eva for 6 minutes in the early afternoon.
2607,2011/09/13,I did hiking on 2011/09/13.,I did hiking on 2011/09/13.
2608,2011/09/13,I prepare pasta for lunch.,I prepare pasta for lunch.
2609,2011/09/13,I ate steak for dinner.,I ate steak for dinner.
2610,2011/09/13,I spent 7 minutes watching news on TV today.,I spent 7 minutes watching news on TV today.
2611,2011/09/14,"I had breakfast with Andrew. I ate eggs, sausages, and bread.","I had breakfast with Andrew. I ate eggs, sausages, and bread."
2612,2011/09/14,I ate sushi for lunch.,I ate sushi for lunch.
2613,2011/09/14,"I had tacos for dinner with Andrew, Kayden, Carter, Emily","I had tacos for dinner with Andrew, Kayden, Carter, Emily"
2614,2011/09/14,I spent 35 minutes reading news today.,I spent 35 minutes reading news today.
2615,2011/09/14,I watched a movie for 36 minutes on TV today.,I watched a movie for 36 minutes on TV today.
2616,2011/09/15,I did hiking on 2011/09/15.,I did hiking on 2011/09/15.
2617,2011/09/15,I ate sushi for lunch.,I ate sushi for lunch.
2618,2011/09/15,I spent 10 minutes on a book today.,I spent 10 minutes on a book today.
2619,2011/09/16,I did hiking on 2011/09/16.,I did hiking on 2011/09/16.
2620,2011/09/16,I prepare sushi for lunch.,I prepare sushi for lunch.
2621,2011/09/16,I spent 25 minutes on a book today.,I spent 25 minutes on a book today.
2622,2011/09/16,I watched a movie for 43 minutes on TV today.,I watched a movie for 43 minutes on TV today.
2623,2011/09/17,I did swimming on 2011/09/17.,I did swimming on 2011/09/17.
2624,2011/09/17,I had dinner. I ate pasta.,I had dinner. I ate pasta.
2625,2011/09/17,I watched a documentary for 53 minutes on TV today.,I watched a documentary for 53 minutes on TV today.
2626,2011/09/18,I did swimming on 2011/09/18.,I did swimming on 2011/09/18.
2627,2011/09/18,I prepare a burger for lunch.,I prepare a burger for lunch.
2628,2011/09/18,"I had dinner with Jackson, Willow, Avery, Benjamin. I ate indian food.","I had dinner with Jackson, Willow, Avery, Benjamin. I ate indian food."
2629,2011/09/18,"I talked to Rylee, Layla for 47 minutes during lunch hours.","I talked to Rylee, Layla for 47 minutes during lunch hours."
2630,2011/09/19,I did HIIT on 2011/09/19.,I did HIIT on 2011/09/19.
2631,2011/09/19,I had toast and cheese for breakfast with Emily,I had toast and cheese for breakfast with Emily
2632,2011/09/20,I prepare chinese food for lunch.,I prepare chinese food for lunch.
2633,2011/09/20,"I had indian food for dinner with Nevaeh, Olivia, Eva, Nora","I had indian food for dinner with Nevaeh, Olivia, Eva, Nora"
2634,2011/09/20,"I talked to Eva, Nora, Piper for 26 minutes in the morning.","I talked to Eva, Nora, Piper for 26 minutes in the morning."
2635,2011/09/20,I spent 40 minutes reading news today.,I spent 40 minutes reading news today.
2636,2011/09/20,I watched a documentary for 36 minutes on TV today.,I watched a documentary for 36 minutes on TV today.
2637,2011/09/21,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
2638,2011/09/21,I spent 29 minutes reading social media today.,I spent 29 minutes reading social media today.
2639,2011/09/22,I did running on 2011/09/22.,I did running on 2011/09/22.
2640,2011/09/22,"I had tacos for lunch with Kinsley, Layla, Piper","I had tacos for lunch with Kinsley, Layla, Piper"
2641,2011/09/22,I talked to Rylee for 45 minutes late in the evening.,I talked to Rylee for 45 minutes late in the evening.
2642,2011/09/22,I watched a documentary for 13 minutes on TV today.,I watched a documentary for 13 minutes on TV today.
2643,2011/09/23,I did HIIT on 2011/09/23.,I did HIIT on 2011/09/23.
2644,2011/09/23,"I had breakfast with Kinsley, Claire, Piper, Rylee, Avery, Nevaeh, Piper, Lydia, Layla, Olivia, Eva, Nora. I ate peanut-butter-jam.","I had breakfast with Kinsley, Claire, Piper, Rylee, Avery, Nevaeh, Piper, Lydia, Layla, Olivia, Eva, Nora. I ate peanut-butter-jam."
2645,2011/09/23,"I talked to Avery, Piper, Piper, Kinsley for 23 minutes in the late afternoon.","I talked to Avery, Piper, Piper, Kinsley for 23 minutes in the late afternoon."
2646,2011/09/23,I watched news for 7 minutes on TV today.,I watched news for 7 minutes on TV today.
2647,2011/09/24,I did running on 2011/09/24.,I did running on 2011/09/24.
2648,2011/09/24,I ate pancakes for breakfast.,I ate pancakes for breakfast.
2649,2011/09/24,I prepare sushi for lunch.,I prepare sushi for lunch.
2650,2011/09/24,I had dinner. I ate pasta.,I had dinner. I ate pasta.
2651,2011/09/24,I spent 33 minutes reading social media today.,I spent 33 minutes reading social media today.
2652,2011/09/25,I did HIIT on 2011/09/25.,I did HIIT on 2011/09/25.
