eid,date,timeofday,howlong,friends
e2726,2010/10/19,in the late afternoon,19,"Olivia, Avery, Nora"
e2727,2010/10/19,in the early evening,31,"Eva, Nora"
e2728,2010/10/19,in the late afternoon,25,"Hazel, Avery"
e2735,2010/10/20,late in the evening,40,"Olivia, Claire, Piper, Hazel"
e2736,2010/10/20,during lunch hours,36,"Kinsley, Hazel, Olivia, Layla"
e2737,2010/10/20,during lunch hours,24,Eva
e2744,2010/10/21,late in the evening,17,Claire
e2745,2010/10/21,in the early afternoon,6,Hazel
e2746,2010/10/21,in the early evening,54,"Rylee, Piper"
e2753,2010/10/22,in the early evening,44,"Avery, Lydia"
e2754,2010/10/22,in the early evening,53,"Piper, Eva, Olivia"
e2761,2010/10/23,in the early evening,11,"Layla, Eva, Claire, Piper"
e2762,2010/10/23,in the early afternoon,53,"Claire, Piper, Piper"
e2763,2010/10/23,in the early evening,23,"Layla, Olivia, Eva"
e2764,2010/10/23,late in the evening,10,"Layla, Olivia, Claire, Nora"
e2771,2010/10/24,late in the evening,17,"Rylee, Layla, Avery, Lydia"
e2772,2010/10/24,during lunch hours,21,"Olivia, Claire"
e2773,2010/10/24,during lunch hours,38,"Kinsley, Claire, Nevaeh, Hazel"
e2779,2010/10/25,late in the evening,29,"Avery, Nevaeh, Rylee, Hazel"
e2780,2010/10/25,in the early evening,15,"Piper, Layla, Piper"
e2781,2010/10/25,in the early evening,35,"Hazel, Claire, Nora"
e2782,2010/10/25,in the late afternoon,46,"Layla, Olivia, Nora, Nevaeh"
e2789,2010/10/26,during lunch hours,6,"Rylee, Layla, Eva"
e2790,2010/10/26,in the early evening,15,"Nevaeh, Lydia, Kinsley, Avery"
e2791,2010/10/26,in the early afternoon,49,"Piper, Lydia, Nora, Nevaeh"
e2792,2010/10/26,in the early afternoon,23,Piper
e2799,2010/10/27,in the early afternoon,50,Piper
e2800,2010/10/27,in the early afternoon,5,"Avery, Eva, Rylee"
e2801,2010/10/27,in the early evening,14,"Piper, Hazel, Nora, Eva"
e2808,2010/10/28,in the early evening,55,"Layla, Kinsley, Nora"
e2809,2010/10/28,in the early afternoon,13,"Nora, Olivia, Rylee"
e2810,2010/10/28,in the early afternoon,30,"Layla, Kinsley"
e2817,2010/10/29,in the late afternoon,29,"Hazel, Nora, Rylee, Eva"
e2818,2010/10/29,in the late afternoon,26,"Nora, Claire"
e2819,2010/10/29,in the late afternoon,9,"Nevaeh, Nora, Layla, Piper"
e2826,2010/10/30,in the late afternoon,25,"Layla, Piper, Nora"
e2827,2010/10/30,in the late afternoon,25,"Eva, Kinsley"
e2828,2010/10/30,during lunch hours,22,"Claire, Rylee"
e2835,2010/10/31,in the late afternoon,27,Hazel
e2836,2010/10/31,in the morning,40,"Eva, Rylee, Nora, Olivia"
e2837,2010/10/31,in the late afternoon,54,"Layla, Piper"
e2844,2010/11/01,in the early evening,53,"Piper, Hazel"
e2845,2010/11/01,in the late afternoon,7,Eva
e2852,2010/11/02,in the early evening,21,"Lydia, Hazel, Kinsley"
e2853,2010/11/02,in the early evening,20,"Kinsley, Nora, Rylee"
e2860,2010/11/03,in the early afternoon,33,"Claire, Layla, Kinsley"
e2861,2010/11/03,in the late afternoon,17,"Eva, Lydia"
e2862,2010/11/03,in the morning,22,"Rylee, Hazel, Piper"
e2869,2010/11/04,in the morning,31,"Claire, Eva, Piper"
e2870,2010/11/04,in the early evening,50,"Piper, Piper, Avery"
e2871,2010/11/04,in the early afternoon,52,"Nevaeh, Olivia, Eva, Piper"
e2878,2010/11/05,in the early evening,43,"Claire, Eva"
e2879,2010/11/05,in the morning,50,"Avery, Piper"
e2886,2010/11/06,in the morning,48,"Olivia, Piper, Rylee"
e2887,2010/11/06,in the morning,43,"Kinsley, Piper, Claire, Layla"
e2888,2010/11/06,in the early evening,39,"Hazel, Piper, Claire"
e2894,2010/11/07,in the late afternoon,24,"Piper, Avery"
e2895,2010/11/07,during lunch hours,52,Nevaeh
e2896,2010/11/07,late in the evening,49,"Nora, Nevaeh, Claire"
e2897,2010/11/07,in the early evening,8,"Piper, Hazel, Layla, Claire"
e2904,2010/11/08,in the early afternoon,8,"Eva, Piper"
e2905,2010/11/08,late in the evening,33,Hazel
e2912,2010/11/09,during lunch hours,17,Piper
e2913,2010/11/09,in the early afternoon,30,"Layla, Nora, Claire, Olivia"
e2914,2010/11/09,in the morning,12,"Piper, Nora"
e2915,2010/11/09,in the early afternoon,16,Lydia
e2922,2010/11/10,in the morning,26,"Piper, Eva, Layla"
e2923,2010/11/10,during lunch hours,54,"Layla, Piper"
e2924,2010/11/10,in the late afternoon,11,"Piper, Avery, Rylee, Layla"
e2925,2010/11/10,in the early evening,33,Olivia
e2932,2010/11/11,during lunch hours,46,"Olivia, Avery"
e2933,2010/11/11,during lunch hours,39,"Olivia, Piper, Rylee"
e2934,2010/11/11,in the late afternoon,51,"Hazel, Olivia, Eva"
e2941,2010/11/12,in the early afternoon,17,"Piper, Rylee, Nora, Eva"
e2942,2010/11/12,in the early evening,6,"Olivia, Nora, Piper, Layla"
e2943,2010/11/12,in the late afternoon,21,"Avery, Hazel, Olivia, Layla"
e2944,2010/11/12,in the late afternoon,8,"Piper, Layla"
e2951,2010/11/13,late in the evening,53,"Rylee, Nora, Avery"
e2952,2010/11/13,during lunch hours,51,"Lydia, Rylee"
e2953,2010/11/13,in the early evening,41,"Lydia, Nora"
e2954,2010/11/13,in the late afternoon,9,"Rylee, Nevaeh"
e2961,2010/11/14,in the early afternoon,14,"Kinsley, Lydia, Claire"
e2962,2010/11/14,in the morning,20,Lydia
e2969,2010/11/15,during lunch hours,42,"Piper, Nevaeh, Kinsley"
e2970,2010/11/15,in the morning,51,"Claire, Olivia, Hazel, Avery"
e2971,2010/11/15,late in the evening,55,"Layla, Hazel, Claire"
e2972,2010/11/15,late in the evening,51,"Claire, Piper, Layla"
e2979,2010/11/16,in the early evening,33,Lydia
e2980,2010/11/16,during lunch hours,36,"Rylee, Eva"
e2986,2010/11/17,in the morning,28,"Nora, Eva, Olivia, Piper"
e2987,2010/11/17,in the late afternoon,7,"Kinsley, Lydia, Piper, Layla"
e2988,2010/11/17,in the early evening,8,Layla
e2995,2010/11/18,in the morning,44,"Piper, Eva, Rylee"
e2996,2010/11/18,in the late afternoon,13,Lydia
e2997,2010/11/18,late in the evening,10,"Piper, Layla, Rylee"
e3004,2010/11/19,late in the evening,49,"Claire, Hazel, Avery, Nora"
e3005,2010/11/19,in the late afternoon,48,Olivia
e3011,2010/11/20,during lunch hours,9,"Olivia, Layla, Kinsley"
e3012,2010/11/20,in the late afternoon,39,"Piper, Claire, Piper, Nora"
e3019,2010/11/21,during lunch hours,34,Avery
e3020,2010/11/21,in the morning,36,"Piper, Rylee, Layla, Olivia"
e3027,2010/11/22,in the early evening,27,"Piper, Eva, Claire, Lydia"
e3028,2010/11/22,in the morning,6,"Layla, Olivia, Nora"
e3029,2010/11/22,late in the evening,27,"Avery, Nevaeh"
e3030,2010/11/22,in the morning,28,"Claire, Lydia"
e3037,2010/11/23,in the early evening,21,"Piper, Olivia, Claire, Avery"
e3038,2010/11/23,in the early evening,25,Eva
e3039,2010/11/23,in the early afternoon,49,Kinsley
e3046,2010/11/24,late in the evening,30,"Olivia, Avery"
e3047,2010/11/24,in the late afternoon,23,Eva
e3048,2010/11/24,during lunch hours,13,"Rylee, Claire, Nora"
e3055,2010/11/25,in the early afternoon,46,"Lydia, Kinsley, Eva, Claire"
e3056,2010/11/25,in the early afternoon,42,Kinsley
e3057,2010/11/25,during lunch hours,8,"Kinsley, Hazel"
e3058,2010/11/25,in the early afternoon,53,"Olivia, Piper, Nevaeh"
e3065,2010/11/26,late in the evening,9,Rylee
e3066,2010/11/26,during lunch hours,21,"Piper, Rylee"
e3067,2010/11/26,in the early evening,32,Hazel
e3074,2010/11/27,in the early afternoon,43,Piper
e3075,2010/11/27,in the early evening,48,"Kinsley, Piper"
e3082,2010/11/28,in the early evening,55,"Hazel, Nora, Lydia"
e3083,2010/11/28,in the early evening,23,"Kinsley, Piper, Nevaeh"
e3084,2010/11/28,in the early afternoon,33,"Olivia, Layla, Hazel, Nora"
e3085,2010/11/28,late in the evening,17,"Piper, Hazel"
e3092,2010/11/29,during lunch hours,35,"Piper, Olivia, Kinsley"
e3093,2010/11/29,late in the evening,32,"Claire, Kinsley"
e3094,2010/11/29,in the late afternoon,13,Piper
e3095,2010/11/29,in the early afternoon,44,"Rylee, Lydia"
e3102,2010/11/30,late in the evening,45,"Layla, Piper, Nevaeh, Hazel"
e3103,2010/11/30,in the late afternoon,15,Nora
e3104,2010/11/30,in the early evening,11,"Kinsley, Piper, Eva, Layla"
e3111,2010/12/01,in the early afternoon,50,Kinsley
e3112,2010/12/01,in the morning,40,Lydia
e3113,2010/12/01,late in the evening,45,Rylee
e3120,2010/12/02,late in the evening,48,"Avery, Lydia"
e3121,2010/12/02,in the early afternoon,40,Rylee
e3127,2010/12/03,in the late afternoon,46,"Olivia, Avery"
e3128,2010/12/03,in the morning,29,Layla
e3134,2010/12/04,in the morning,37,Lydia
e3135,2010/12/04,late in the evening,25,Piper
e3142,2010/12/05,late in the evening,9,"Piper, Kinsley, Avery, Lydia"
e3143,2010/12/05,in the early afternoon,9,"Layla, Piper, Piper, Avery"
e3144,2010/12/05,late in the evening,26,Claire
e3151,2010/12/06,in the early afternoon,47,"Lydia, Rylee, Olivia, Claire"
e3152,2010/12/06,during lunch hours,7,"Claire, Layla"
e3153,2010/12/06,during lunch hours,50,Piper
e3160,2010/12/07,in the morning,44,"Olivia, Lydia"
e3161,2010/12/07,late in the evening,52,"Lydia, Piper"
e3168,2010/12/08,in the morning,24,"Hazel, Piper"
e3169,2010/12/08,during lunch hours,6,"Nora, Nevaeh, Olivia, Hazel"
e3176,2010/12/09,in the early evening,49,Piper
e3177,2010/12/09,during lunch hours,11,"Claire, Nora, Layla, Eva"
e3178,2010/12/09,in the morning,13,"Piper, Kinsley, Nevaeh, Lydia"
e3179,2010/12/09,in the morning,13,"Eva, Piper, Avery"
e3186,2010/12/10,in the early afternoon,26,"Nevaeh, Piper, Nora"
e3187,2010/12/10,in the early afternoon,36,Avery
e3194,2010/12/11,in the early afternoon,54,"Nora, Rylee, Hazel, Kinsley"
e3195,2010/12/11,in the late afternoon,20,Piper
e3196,2010/12/11,in the morning,26,Claire
e3202,2010/12/12,in the early afternoon,16,"Hazel, Kinsley, Piper"
e3203,2010/12/12,late in the evening,16,"Rylee, Nevaeh, Lydia, Nora"
e3204,2010/12/12,late in the evening,25,"Hazel, Avery"
e3211,2010/12/13,in the late afternoon,41,"Kinsley, Rylee"
e3212,2010/12/13,during lunch hours,34,Piper
e3213,2010/12/13,during lunch hours,38,"Nora, Claire, Piper"
e3214,2010/12/13,late in the evening,24,"Olivia, Avery, Claire"
e3221,2010/12/14,late in the evening,24,"Avery, Nora, Rylee, Olivia"
e3222,2010/12/14,in the late afternoon,24,"Hazel, Kinsley, Olivia"
e3229,2010/12/15,late in the evening,8,Lydia
e3230,2010/12/15,in the early afternoon,15,"Rylee, Avery, Hazel, Olivia"
e3231,2010/12/15,in the early evening,24,"Nora, Kinsley"
e3232,2010/12/15,during lunch hours,18,"Olivia, Kinsley, Piper, Nora"
e3239,2010/12/16,during lunch hours,25,"Rylee, Eva, Avery, Piper"
e3240,2010/12/16,late in the evening,52,"Nevaeh, Rylee, Eva"
e3247,2010/12/17,during lunch hours,12,"Kinsley, Nevaeh"
e3248,2010/12/17,in the early evening,16,Olivia
e3249,2010/12/17,in the early afternoon,13,"Avery, Claire"
e3250,2010/12/17,in the morning,22,"Piper, Lydia"
e3257,2010/12/18,in the early evening,42,"Lydia, Layla, Hazel"
e3258,2010/12/18,in the morning,50,"Piper, Kinsley, Piper"
e3259,2010/12/18,in the morning,47,"Avery, Nevaeh, Claire, Rylee"
e3260,2010/12/18,during lunch hours,12,"Hazel, Claire"
e3267,2010/12/19,in the morning,35,"Claire, Rylee"
e3268,2010/12/19,in the early afternoon,19,"Avery, Eva, Olivia, Nevaeh"
e3269,2010/12/19,during lunch hours,47,"Layla, Avery, Kinsley, Rylee"
e3276,2010/12/20,in the morning,39,Avery
e3277,2010/12/20,during lunch hours,53,Layla
e3284,2010/12/21,in the early afternoon,47,Piper
e3285,2010/12/21,in the morning,53,"Olivia, Avery, Layla, Claire"
e3286,2010/12/21,in the early evening,51,Claire
e3287,2010/12/21,in the morning,41,"Olivia, Nevaeh"
e3294,2010/12/22,in the early afternoon,47,"Lydia, Avery"
e3295,2010/12/22,during lunch hours,15,"Olivia, Claire"
e3302,2010/12/23,late in the evening,14,"Rylee, Claire"
e3303,2010/12/23,during lunch hours,54,"Layla, Kinsley, Eva"
e3304,2010/12/23,during lunch hours,54,"Lydia, Kinsley, Avery, Piper"
e3311,2010/12/24,in the morning,9,"Piper, Nora"
e3312,2010/12/24,in the early afternoon,9,"Layla, Piper, Hazel"
e3313,2010/12/24,in the morning,47,"Nevaeh, Layla"
e3314,2010/12/24,in the early evening,55,Rylee
e3321,2010/12/25,in the morning,51,Kinsley
e3322,2010/12/25,late in the evening,50,"Rylee, Eva, Nora"
e3329,2010/12/26,in the morning,31,"Kinsley, Nevaeh"
e3330,2010/12/26,in the late afternoon,51,"Piper, Piper, Hazel, Layla"
e3337,2010/12/27,late in the evening,49,Olivia
e3338,2010/12/27,in the morning,10,"Lydia, Rylee, Piper"
e3339,2010/12/27,during lunch hours,37,"Piper, Claire, Rylee"
e3346,2010/12/28,in the early evening,51,"Piper, Rylee"
e3347,2010/12/28,in the early afternoon,23,"Claire, Layla"
e3348,2010/12/28,in the morning,24,"Claire, Avery"
e3349,2010/12/28,late in the evening,48,"Nevaeh, Layla, Piper, Olivia"
e3356,2010/12/29,in the late afternoon,46,"Layla, Eva, Piper, Hazel"
e3357,2010/12/29,in the morning,54,"Piper, Lydia, Piper, Kinsley"
e3358,2010/12/29,in the early afternoon,16,Lydia
e3365,2010/12/30,during lunch hours,6,"Claire, Kinsley"
e3372,2010/12/31,late in the evening,8,Lydia
e3373,2010/12/31,in the morning,5,"Layla, Lydia"
e3374,2010/12/31,during lunch hours,12,"Avery, Claire, Eva, Layla"
e3585,2011/01/01,in the late afternoon,30,"Piper, Hazel"
e3586,2011/01/01,in the morning,17,"Avery, Rylee, Layla"
e3593,2011/01/02,in the late afternoon,47,Nora
e3594,2011/01/02,during lunch hours,12,"Nevaeh, Olivia, Hazel, Layla"
e3595,2011/01/02,late in the evening,17,"Layla, Piper, Rylee, Nora"
e3602,2011/01/03,in the late afternoon,36,Layla
e3603,2011/01/03,late in the evening,26,"Piper, Layla"
e3610,2011/01/04,during lunch hours,33,"Hazel, Piper"
e3611,2011/01/04,late in the evening,54,"Nevaeh, Lydia"
e3612,2011/01/04,in the early afternoon,41,Eva
e3613,2011/01/04,in the morning,20,"Lydia, Claire, Hazel"
e3620,2011/01/05,in the early afternoon,44,"Hazel, Layla"
e3621,2011/01/05,in the late afternoon,46,Olivia
e3622,2011/01/05,in the morning,5,"Layla, Eva, Rylee, Nevaeh"
e3628,2011/01/06,in the early afternoon,36,"Claire, Rylee, Piper, Lydia"
e3629,2011/01/06,in the morning,55,"Eva, Nora"
e3636,2011/01/07,in the morning,28,"Olivia, Avery, Piper"
e3637,2011/01/07,during lunch hours,41,"Piper, Nevaeh, Avery"
e3643,2011/01/08,during lunch hours,19,Claire
e3644,2011/01/08,during lunch hours,37,"Nora, Nevaeh"
e3651,2011/01/09,late in the evening,55,"Eva, Nevaeh, Layla, Piper"
e3652,2011/01/09,in the early afternoon,20,Rylee
e3653,2011/01/09,in the early evening,27,"Claire, Nevaeh, Rylee, Nora"
e3654,2011/01/09,in the late afternoon,16,"Piper, Lydia, Piper"
e3661,2011/01/10,during lunch hours,17,"Layla, Claire, Avery"
e3662,2011/01/10,in the late afternoon,42,"Hazel, Lydia, Olivia"
e3669,2011/01/11,in the morning,5,"Lydia, Kinsley, Eva, Rylee"
e3670,2011/01/11,during lunch hours,17,"Hazel, Nevaeh, Olivia"
e3671,2011/01/11,in the early afternoon,29,"Piper, Rylee, Claire"
e3678,2011/01/12,in the early evening,12,"Avery, Nevaeh"
e3679,2011/01/12,in the early evening,41,"Nora, Piper, Layla, Piper"
e3686,2011/01/13,in the morning,18,Avery
e3687,2011/01/13,in the early afternoon,41,Eva
e3688,2011/01/13,in the late afternoon,14,"Claire, Olivia"
e3695,2011/01/14,in the early evening,34,Claire
e3696,2011/01/14,late in the evening,10,"Rylee, Layla, Lydia"
e3703,2011/01/15,in the morning,51,"Lydia, Claire, Nevaeh, Nora"
e3704,2011/01/15,in the early evening,17,"Nevaeh, Avery, Hazel"
e3705,2011/01/15,in the early evening,12,Nevaeh
e3712,2011/01/16,during lunch hours,39,Piper
e3713,2011/01/16,in the late afternoon,54,"Claire, Kinsley, Lydia, Layla"
e3720,2011/01/17,late in the evening,22,"Kinsley, Layla"
e3721,2011/01/17,in the early afternoon,28,"Avery, Piper, Nevaeh"
e3728,2011/01/18,late in the evening,43,"Lydia, Layla, Nevaeh"
e3729,2011/01/18,late in the evening,27,Kinsley
e3730,2011/01/18,late in the evening,54,Piper
e3731,2011/01/18,in the early afternoon,10,Olivia
e3738,2011/01/19,in the early evening,12,"Nora, Layla, Nevaeh"
e3739,2011/01/19,in the late afternoon,46,"Claire, Lydia, Avery"
e3740,2011/01/19,in the morning,19,Nevaeh
e3741,2011/01/19,during lunch hours,51,"Hazel, Piper, Lydia"
e3748,2011/01/20,in the early evening,43,"Kinsley, Lydia, Nora"
e3749,2011/01/20,in the late afternoon,20,Piper
e3756,2011/01/21,in the late afternoon,53,"Piper, Nevaeh, Lydia"
e3757,2011/01/21,in the early afternoon,47,"Claire, Lydia, Olivia"
e3758,2011/01/21,in the morning,14,"Avery, Claire"
e3765,2011/01/22,in the early afternoon,39,Avery
e3766,2011/01/22,in the early evening,28,"Rylee, Avery"
e3767,2011/01/22,in the morning,33,Piper
e3773,2011/01/23,during lunch hours,26,Piper
e3774,2011/01/23,during lunch hours,54,"Rylee, Hazel, Nora, Eva"
e3775,2011/01/23,in the morning,9,"Rylee, Avery, Claire"
e3782,2011/01/24,in the early afternoon,6,"Piper, Kinsley, Avery, Claire"
e3783,2011/01/24,in the late afternoon,18,Piper
e3784,2011/01/24,in the early afternoon,55,"Eva, Kinsley, Layla, Piper"
e3791,2011/01/25,during lunch hours,28,"Eva, Olivia"
e3792,2011/01/25,late in the evening,36,"Eva, Rylee, Lydia, Claire"
e3793,2011/01/25,in the early evening,17,"Nora, Claire, Piper, Avery"
e3794,2011/01/25,in the early afternoon,45,"Avery, Claire, Eva"
e3801,2011/01/26,in the morning,41,"Claire, Nevaeh, Layla, Avery"
e3802,2011/01/26,in the morning,28,"Kinsley, Olivia"
e3809,2011/01/27,late in the evening,23,Piper
e3810,2011/01/27,in the early afternoon,55,"Layla, Piper"
e3816,2011/01/28,in the early afternoon,19,"Claire, Avery, Piper, Nora"
e3817,2011/01/28,late in the evening,53,"Avery, Nevaeh"
e3818,2011/01/28,in the early afternoon,45,"Olivia, Rylee, Eva"
e3819,2011/01/28,during lunch hours,39,"Layla, Avery, Nevaeh"
e3825,2011/01/29,in the morning,6,"Lydia, Piper, Kinsley, Layla"
e3826,2011/01/29,during lunch hours,9,"Nora, Eva"
e3827,2011/01/29,in the early afternoon,41,Claire
e3834,2011/01/30,in the early evening,44,"Layla, Piper, Nora"
e3835,2011/01/30,in the early evening,38,"Hazel, Kinsley, Rylee"
e3836,2011/01/30,in the late afternoon,41,Hazel
e3843,2011/01/31,late in the evening,19,"Hazel, Layla, Rylee"
e3844,2011/01/31,during lunch hours,24,"Nora, Kinsley, Hazel"
e3845,2011/01/31,in the morning,41,"Avery, Piper, Kinsley"
e3852,2011/02/01,in the morning,49,"Hazel, Nora, Piper"
e3853,2011/02/01,in the late afternoon,9,"Olivia, Lydia"
e3854,2011/02/01,late in the evening,32,Hazel
e3855,2011/02/01,in the early evening,10,"Piper, Nora, Piper"
e3862,2011/02/02,late in the evening,7,"Hazel, Rylee, Claire, Nevaeh"
e3863,2011/02/02,in the early afternoon,6,"Piper, Avery, Lydia, Kinsley"
e3870,2011/02/03,in the early evening,20,"Avery, Rylee, Nevaeh"
e3871,2011/02/03,in the late afternoon,42,"Claire, Eva, Nevaeh"
e3872,2011/02/03,in the early evening,7,Eva
e3878,2011/02/04,in the early evening,18,Piper
e3879,2011/02/04,in the early afternoon,27,"Piper, Kinsley, Olivia"
e3880,2011/02/04,late in the evening,23,"Rylee, Layla, Nevaeh, Lydia"
e3887,2011/02/05,during lunch hours,45,"Kinsley, Eva, Claire, Avery"
e3888,2011/02/05,in the late afternoon,43,"Olivia, Eva"
e3889,2011/02/05,late in the evening,20,"Lydia, Piper, Nevaeh"
e3890,2011/02/05,during lunch hours,16,"Piper, Eva, Nora, Nevaeh"
e3897,2011/02/06,in the late afternoon,45,"Piper, Nora, Lydia"
e3898,2011/02/06,during lunch hours,6,Avery
e3899,2011/02/06,during lunch hours,18,"Nora, Hazel, Piper, Claire"
e3905,2011/02/07,in the early afternoon,40,"Piper, Lydia, Eva, Nevaeh"
e3906,2011/02/07,late in the evening,32,"Kinsley, Eva"
e3907,2011/02/07,in the morning,37,"Olivia, Lydia"
e3914,2011/02/08,in the early afternoon,29,Rylee
e3915,2011/02/08,late in the evening,43,"Kinsley, Hazel, Nora"
e3916,2011/02/08,in the early afternoon,53,"Nora, Nevaeh"
e3917,2011/02/08,in the late afternoon,31,Lydia
e3924,2011/02/09,during lunch hours,49,"Eva, Rylee, Kinsley, Nora"
e3925,2011/02/09,in the late afternoon,11,"Claire, Piper, Nevaeh"
e3932,2011/02/10,in the morning,50,"Layla, Nora"
e3933,2011/02/10,in the early evening,32,"Nevaeh, Hazel, Eva, Avery"
e3940,2011/02/11,during lunch hours,31,"Kinsley, Rylee"
e3941,2011/02/11,in the morning,8,"Lydia, Avery"
e3948,2011/02/12,during lunch hours,23,"Rylee, Piper, Nora, Lydia"
e3949,2011/02/12,in the morning,28,"Eva, Claire"
e3950,2011/02/12,late in the evening,36,"Nevaeh, Hazel, Kinsley"
e3957,2011/02/13,in the early afternoon,36,Rylee
e3958,2011/02/13,in the morning,50,"Hazel, Piper, Claire"
e3959,2011/02/13,during lunch hours,26,"Rylee, Nevaeh, Lydia, Hazel"
e3965,2011/02/14,in the morning,43,"Claire, Piper"
e3966,2011/02/14,during lunch hours,34,"Avery, Eva, Nevaeh"
e3967,2011/02/14,in the late afternoon,37,"Piper, Rylee, Lydia, Nora"
e3974,2011/02/15,in the late afternoon,29,Lydia
e3975,2011/02/15,during lunch hours,40,"Lydia, Nora"
e3976,2011/02/15,late in the evening,43,"Eva, Rylee, Avery"
e3977,2011/02/15,in the early afternoon,46,Nevaeh
e3984,2011/02/16,during lunch hours,53,Olivia
e3985,2011/02/16,in the early evening,44,Kinsley
e3992,2011/02/17,in the late afternoon,36,"Nevaeh, Hazel, Lydia"
e3993,2011/02/17,late in the evening,19,"Eva, Nevaeh, Kinsley"
e3994,2011/02/17,late in the evening,21,Nevaeh
e4001,2011/02/18,in the early evening,45,"Nora, Eva"
e4002,2011/02/18,late in the evening,15,Hazel
e4003,2011/02/18,late in the evening,17,"Rylee, Piper"
e4010,2011/02/19,during lunch hours,34,"Olivia, Nora, Layla"
e4011,2011/02/19,late in the evening,53,"Claire, Nevaeh, Layla"
e4017,2011/02/20,in the morning,31,"Rylee, Claire, Nora"
e4018,2011/02/20,during lunch hours,45,"Olivia, Avery"
e4019,2011/02/20,during lunch hours,40,"Nora, Layla, Hazel"
e4026,2011/02/21,in the early afternoon,8,"Hazel, Nora, Claire, Eva"
e4027,2011/02/21,in the early evening,17,"Eva, Olivia, Rylee"
e4028,2011/02/21,late in the evening,44,Avery
e4035,2011/02/22,during lunch hours,27,"Piper, Eva, Olivia, Lydia"
e4036,2011/02/22,in the late afternoon,19,"Piper, Lydia"
e4037,2011/02/22,late in the evening,32,"Hazel, Piper, Nevaeh, Lydia"
e4044,2011/02/23,in the early afternoon,34,"Olivia, Nora, Avery, Layla"
e4045,2011/02/23,in the early afternoon,10,Kinsley
e4051,2011/02/24,late in the evening,26,"Hazel, Eva, Rylee, Olivia"
e4052,2011/02/24,in the morning,41,"Layla, Nevaeh, Olivia"
e4053,2011/02/24,in the late afternoon,38,"Kinsley, Hazel"
e4054,2011/02/24,in the late afternoon,21,"Avery, Eva"
e4060,2011/02/25,in the early evening,26,"Eva, Kinsley, Claire"
e4061,2011/02/25,in the early afternoon,11,"Piper, Layla, Hazel"
e4062,2011/02/25,late in the evening,42,"Rylee, Hazel, Layla"
e4068,2011/02/26,in the early afternoon,34,"Hazel, Layla"
e4069,2011/02/26,in the morning,6,"Piper, Layla"
e4075,2011/02/27,during lunch hours,5,"Layla, Nora, Piper, Claire"
e4076,2011/02/27,in the early afternoon,19,"Piper, Avery, Hazel, Claire"
e4082,2011/02/28,in the early afternoon,22,"Hazel, Avery, Layla, Rylee"
e4083,2011/02/28,in the late afternoon,6,"Hazel, Avery"
e4084,2011/02/28,in the morning,22,"Rylee, Eva"
e4090,2011/03/01,in the late afternoon,24,"Lydia, Nevaeh, Eva"
e4091,2011/03/01,in the morning,52,Nora
e4092,2011/03/01,late in the evening,15,"Eva, Piper, Claire"
e4098,2011/03/02,late in the evening,23,"Piper, Claire"
e4099,2011/03/02,in the morning,14,"Avery, Claire"
e4100,2011/03/02,in the early evening,34,"Piper, Nevaeh, Claire"
e4106,2011/03/03,late in the evening,31,"Kinsley, Nora"
e4112,2011/03/04,during lunch hours,44,"Nevaeh, Olivia, Layla"
e4113,2011/03/04,in the late afternoon,31,"Hazel, Nora, Eva"
e4114,2011/03/04,in the morning,40,"Eva, Olivia, Avery, Claire"
e4120,2011/03/05,in the late afternoon,53,"Kinsley, Avery, Piper"
e4121,2011/03/05,in the early evening,36,"Olivia, Piper, Layla, Nora"
e4122,2011/03/05,in the early afternoon,15,"Claire, Avery"
e4123,2011/03/05,in the late afternoon,44,"Claire, Rylee, Lydia"
e4129,2011/03/06,in the morning,11,"Kinsley, Lydia, Nora, Piper"
e4130,2011/03/06,in the late afternoon,35,"Rylee, Avery, Kinsley, Nevaeh"
e4131,2011/03/06,during lunch hours,50,Hazel
e4138,2011/03/07,in the late afternoon,27,"Piper, Nora, Claire, Avery"
e4139,2011/03/07,in the early evening,36,"Piper, Avery, Nora, Eva"
e4140,2011/03/07,in the late afternoon,31,"Nevaeh, Lydia, Eva, Claire"
e4141,2011/03/07,late in the evening,18,"Claire, Nevaeh"
e4148,2011/03/08,during lunch hours,52,Nevaeh
e4149,2011/03/08,in the early evening,13,"Piper, Nora"
e4150,2011/03/08,during lunch hours,33,"Piper, Eva"
e4157,2011/03/09,late in the evening,45,"Lydia, Piper"
e4158,2011/03/09,late in the evening,30,"Avery, Hazel, Nevaeh, Kinsley"
e4159,2011/03/09,late in the evening,8,"Hazel, Nevaeh, Nora"
e4160,2011/03/09,late in the evening,50,"Lydia, Hazel, Eva"
e4167,2011/03/10,late in the evening,13,Claire
e4168,2011/03/10,in the morning,29,Claire
e4169,2011/03/10,in the early evening,52,"Piper, Lydia, Layla"
e4176,2011/03/11,in the early afternoon,43,"Eva, Lydia"
e4177,2011/03/11,in the early afternoon,26,"Hazel, Lydia, Claire, Nevaeh"
e4178,2011/03/11,in the late afternoon,43,Avery
e4179,2011/03/11,late in the evening,13,"Nora, Kinsley, Layla, Piper"
e4186,2011/03/12,late in the evening,13,"Olivia, Claire, Kinsley"
e4187,2011/03/12,in the early evening,41,"Eva, Nora"
e4188,2011/03/12,in the early afternoon,14,Hazel
e4189,2011/03/12,in the late afternoon,41,"Piper, Lydia, Hazel"
e4196,2011/03/13,in the morning,13,Avery
