eid,date,fruits,drinks,toiletries,people_string
e6934,2012/11/05,raspberries,"chocolate milk, coffee","toilet paper, facial wash","Andrew, Carter, Emily, Kayden"
e6935,2012/11/08,apples,"soda, guava juice, sports drinks, apple juice",facial wash,"Emily, Carter"
e6939,2012/11/19,oranges,mineral water,shampoo,
e6940,2012/11/22,"peaches, bananas, mandarins","chocolate milk, apple juice",mouth wash,
e6942,2012/11/29,"blackberries, mangos, pears, clementines","pineapple juice, chocolate milk, soda","toilet paper, conditioner, mouthwash, shampoo",Andrew
e6946,2012/12/08,"apricots, nectarines",tea,"mouth wash, body lotion, shampoo",
e6949,2012/12/13,"blackberries, bananas, pineapples, apricots","soda, chocolate milk, coffee, mineral water","body lotion, shampoo, conditioner",Benjamin
e6953,2012/12/18,mangos,"guava juice, pineapple juice","facial wash, shampoo, shaving cream, mouthwash",
e6954,2012/12/21,watermelons,"chocolate milk, tea","toothbrush, toilet paper, shampoo",
e6957,2012/12/24,"clementines, blueberries, raspberries, mandarins","tea, mineral water, mango juice, pineapple juice","shaving cream, toothpaste, facial wash, mouth wash","Kayden, Emily"
e6958,2012/12/26,"watermelons, mandarins, nectarines","orange juice, tea, guava juice, mango juice",mouthwash,"Avery, Willow, Benjamin, Jackson"
e10196,2013/01/01,"oranges, mandarins","mineral water, mango juice, guava juice, coffee",toothpaste,
e10197,2013/01/04,"bananas, strawberries, watermelons","guava juice, sports drinks, mineral water, mango juice","toilet paper, facial wash","Kayden, Andrew, Emily, Carter"
e10198,2013/01/08,"watermelons, nectarines, bananas","sports drinks, coffee, chocolate milk","shampoo, body lotion, mouth wash",
e10199,2013/01/11,watermelons,"mineral water, guava juice, soda","body lotion, toothbrush, paper towel","Nora, Rylee, Claire, Olivia, Kinsley, Avery, Layla, Piper, Hazel"
e10201,2013/01/15,"nectarines, cherres, apricots","guava juice, orange juice, soda, apple juice","toothpaste, body lotion","Avery, Jackson"
e10202,2013/01/19,"pineapples, pears, cherres, apricots","apple juice, guava juice","mouth wash, paper towel, toothbrush",
e10205,2013/01/22,"blueberries, clementines","sports drinks, chocolate milk, guava juice","mouth wash, shaving cream, shampoo, toothpaste",
e10206,2013/01/25,"pineapples, clementines","tea, milk, pineapple juice","shampoo, toilet paper, mouth wash","Emily, Kayden, Carter"
e10209,2013/01/30,cherres,"milk, tea, apple juice, sports drinks","facial wash, toothbrush, mouthwash, mouth wash",
e10210,2013/02/04,"oranges, blueberries, apricots, clementines","sports drinks, guava juice, coffee, tea",toilet paper,"Layla, Piper, Olivia, Piper, Hazel, Lydia, Claire, Avery, Nora, Eva, Nevaeh, Kinsley"
e10211,2013/02/07,"guava, apricots, apples","soda, guava juice, pineapple juice","mouth wash, paper towel, toothpaste, toothbrush",Andrew
e10214,2013/02/12,"apricots, pears, watermelons, oranges","milk, orange juice, apple juice",toilet paper,"Emily, Kayden"
e10215,2013/02/18,"raspberries, oranges, pears","orange juice, milk","mouth wash, mouthwash, shampoo","Carter, Andrew"
e10217,2013/02/21,oranges,"mango juice, orange juice, coffee","toilet paper, mouthwash, shampoo, mouth wash",
e10218,2013/02/23,"strawberries, peaches","mango juice, milk","shampoo, paper towel",
e10220,2013/02/27,"watermelons, oranges","chocolate milk, sports drinks","mouthwash, facial wash, toothbrush",
e10223,2013/03/11,apples,"tea, chocolate milk, sports drinks","shampoo, mouthwash","Layla, Lydia"
e10226,2013/03/18,apples,"mango juice, soda",toothpaste,
e10228,2013/03/21,"strawberries, pears, bananas, blackberries","chocolate milk, orange juice, coffee","mouth wash, toothpaste, body lotion, shampoo","Hazel, Eva, Avery, Lydia, Piper, Layla"
e10229,2013/03/22,"cherres, peaches","guava juice, apple juice",conditioner,
e10233,2013/03/27,clementines,tea,"mouth wash, facial wash, paper towel",
e10234,2013/03/30,"guava, apricots, nectarines, oranges","mango juice, tea","body lotion, mouth wash, mouthwash",
e10238,2013/04/06,"raspberries, strawberries, pineapples",orange juice,"facial wash, toothbrush",
e10240,2013/04/10,"mangos, nectarines, raspberries, pears","soda, pineapple juice, chocolate milk","toothpaste, shaving cream, mouth wash, conditioner","Andrew, Kayden, Emily"
e10241,2013/04/12,watermelons,soda,"toothpaste, conditioner, mouth wash",Kayden
e10244,2013/04/16,"pears, pineapples, raspberries","tea, pineapple juice, mango juice, guava juice","mouthwash, body lotion, shaving cream",
e10245,2013/04/20,"blueberries, bananas, clementines, peaches","mineral water, tea, pineapple juice, chocolate milk","shaving cream, shampoo, toilet paper",
e10247,2013/04/26,"mangos, oranges, pineapples, nectarines","sports drinks, coffee","toothpaste, mouthwash",Jackson
e10249,2013/05/13,"peaches, pineapples, blackberries","coffee, mango juice, tea, milk",body lotion,"Carter, Kayden, Andrew"
e10252,2013/05/19,"blackberries, clementines, blueberries, strawberries",coffee,"paper towel, mouthwash, shampoo",
e10254,2013/05/22,"clementines, pears, cherres, mangos",mineral water,"facial wash, toothpaste, toothbrush, shampoo",
e10255,2013/05/25,"mandarins, cherres, blackberries, blueberries","soda, coffee",conditioner,Willow
e10257,2013/05/30,"guava, peaches, nectarines","mineral water, milk, apple juice","toothpaste, mouthwash, paper towel, conditioner","Emily, Carter"
e10258,2013/06/03,"raspberries, apricots, strawberries","mineral water, apple juice, milk, orange juice","toilet paper, mouthwash",
e10260,2013/06/04,"oranges, bananas, blueberries",apple juice,"toilet paper, mouthwash, toothbrush, body lotion","Andrew, Carter, Kayden"
e10264,2013/06/11,"clementines, apples, apricots, mandarins",mineral water,"mouth wash, conditioner, mouthwash, shaving cream",Benjamin
e10268,2013/06/23,"bananas, pineapples, blueberries, blackberries","coffee, milk","toothbrush, shaving cream, paper towel, toothpaste","Willow, Avery, Jackson, Benjamin"
e10272,2013/06/28,"watermelons, apples, nectarines","milk, coffee","paper towel, mouth wash, mouthwash, toothbrush",
e10273,2013/07/07,"pears, cherres","apple juice, soda",paper towel,Jackson
e10276,2013/07/09,"cherres, blueberries, raspberries","guava juice, apple juice, milk","mouth wash, conditioner, toothpaste, shampoo","Kayden, Emily, Carter"
e10278,2013/07/18,"blackberries, mandarins","apple juice, soda","mouth wash, facial wash","Willow, Jackson"
e10279,2013/07/19,apricots,"coffee, tea, milk, soda","paper towel, toothpaste, conditioner, mouthwash","Nora, Nevaeh, Rylee, Hazel"
e10282,2013/07/28,"clementines, pineapples, watermelons, cherres","soda, mineral water, mango juice, chocolate milk","toothpaste, facial wash",
e10285,2013/08/01,apples,"mineral water, milk, pineapple juice, mango juice","mouth wash, toothbrush",
e10286,2013/08/05,"mandarins, apricots",guava juice,"toothpaste, shampoo",
e10288,2013/08/06,"mandarins, bananas, peaches",tea,"toothbrush, shaving cream","Piper, Piper, Avery, Nora, Olivia, Layla, Eva, Nevaeh, Hazel, Rylee, Claire, Kinsley"
e10289,2013/08/10,"mandarins, nectarines, clementines","guava juice, apple juice","facial wash, mouth wash, shampoo, shaving cream",Carter
e10291,2013/08/13,oranges,"milk, mango juice, soda","shampoo, toothbrush",
e10292,2013/08/17,"pears, nectarines, pineapples, oranges","tea, guava juice","toilet paper, facial wash, body lotion, toothbrush",
e10295,2013/08/20,guava,guava juice,"paper towel, toilet paper","Rylee, Nevaeh, Kinsley, Claire, Piper, Piper"
e10296,2013/08/26,"peaches, nectarines",mango juice,"conditioner, toilet paper","Piper, Layla, Piper, Claire, Olivia, Rylee, Lydia, Nora, Hazel, Avery, Eva, Nevaeh"
e10301,2013/08/30,"clementines, strawberries, pears","apple juice, coffee, mineral water, guava juice","toothbrush, mouthwash, mouth wash","Andrew, Carter"
e10303,2013/09/08,"blueberries, pears, guava, apricots","coffee, orange juice",facial wash,Avery
e10305,2013/09/12,"raspberries, guava, pineapples, bananas","orange juice, sports drinks",toothbrush,
e10306,2013/09/14,"bananas, strawberries, cherres","sports drinks, pineapple juice",mouth wash,
e10308,2013/09/18,"blackberries, bananas, cherres, pears","apple juice, milk","toothbrush, facial wash, toilet paper, mouthwash",
e10309,2013/09/20,"cherres, pears","apple juice, chocolate milk","mouthwash, toilet paper, toothbrush, facial wash","Carter, Andrew, Kayden"
e10310,2013/09/25,mandarins,apple juice,"mouth wash, toothbrush","Lydia, Nora, Olivia, Piper, Avery, Layla, Nevaeh, Eva, Kinsley, Rylee, Hazel, Claire"
e10311,2013/09/29,"cherres, blueberries","soda, coffee, chocolate milk, mango juice","toothbrush, paper towel","Kayden, Andrew, Emily"
e10314,2013/10/03,"mandarins, guava, clementines","sports drinks, tea, guava juice, pineapple juice","conditioner, paper towel, shampoo",
e10315,2013/10/04,"apples, nectarines","tea, chocolate milk",toothpaste,
e10318,2013/10/15,"strawberries, raspberries, apricots, mangos","mineral water, pineapple juice, tea","toothpaste, conditioner, mouth wash, shaving cream",
e10319,2013/10/18,"pineapples, apples, mangos","soda, mango juice","toilet paper, toothbrush","Kinsley, Layla, Avery"
e10320,2013/10/23,oranges,pineapple juice,"mouthwash, shampoo",
e10321,2013/10/28,"pineapples, guava, mandarins, watermelons","sports drinks, soda",toilet paper,
e10324,2013/10/29,raspberries,"mineral water, sports drinks","mouthwash, shaving cream, mouth wash","Jackson, Benjamin, Avery"
e10325,2013/11/03,"blackberries, mandarins, pineapples","sports drinks, mango juice, pineapple juice","paper towel, mouthwash",
e10327,2013/11/07,"strawberries, bananas, peaches, mandarins","orange juice, coffee",toothpaste,
e10328,2013/11/10,"peaches, watermelons, bananas","pineapple juice, mineral water",toothpaste,"Andrew, Emily, Kayden"
e10331,2013/11/12,"apples, watermelons",coffee,"paper towel, body lotion","Piper, Lydia, Rylee, Avery, Layla, Olivia, Kinsley, Claire"
e10332,2013/11/18,cherres,"guava juice, apple juice, pineapple juice, sports drinks","toilet paper, conditioner, facial wash",Olivia
e10335,2013/11/19,"raspberries, oranges, pears",milk,"mouthwash, conditioner, toothbrush","Willow, Benjamin"
e10336,2013/11/25,bananas,"tea, chocolate milk, apple juice, soda",mouthwash,"Hazel, Eva, Avery"
e10337,2013/11/30,"mandarins, oranges","pineapple juice, orange juice, soda, sports drinks","shaving cream, shampoo, conditioner, mouth wash",
e10339,2013/12/04,"strawberries, watermelons, mandarins, guava","pineapple juice, orange juice, apple juice, coffee","toilet paper, toothbrush, conditioner, shampoo","Avery, Jackson, Benjamin, Willow"
e10342,2013/12/11,"raspberries, strawberries, pears","mango juice, sports drinks, guava juice","toothpaste, conditioner, toilet paper, mouth wash",
e10343,2013/12/13,"strawberries, oranges, apples, mangos","guava juice, coffee, pineapple juice","toothpaste, facial wash, toothbrush, body lotion",
e10345,2013/12/17,clementines,"apple juice, mineral water, chocolate milk","toothpaste, shaving cream, facial wash, body lotion",Carter
e10346,2013/12/21,"guava, apples, bananas","milk, guava juice, mineral water","shampoo, toothpaste, mouthwash",
e10349,2013/12/24,"pineapples, clementines","pineapple juice, coffee","toothpaste, shaving cream, facial wash",Jackson
e10350,2013/12/29,"strawberries, apricots","pineapple juice, orange juice","paper towel, conditioner, body lotion, facial wash",
e10351,2013/12/31,"peaches, pears, guava","milk, orange juice",toothpaste,Hazel
e13510,2014/01/05,"guava, raspberries","apple juice, tea, pineapple juice","body lotion, conditioner","Kayden, Emily"
e13514,2014/01/12,"oranges, apples","chocolate milk, coffee, mineral water, orange juice","toothbrush, toothpaste, shaving cream, mouthwash",
e13518,2014/01/24,"strawberries, peaches, oranges","apple juice, tea, orange juice, coffee","facial wash, mouth wash, shampoo",
e13519,2014/01/25,"oranges, blueberries, cherres, apples","chocolate milk, coffee, tea, mango juice","conditioner, shampoo, mouth wash, body lotion",
e13524,2014/01/31,clementines,"soda, chocolate milk, pineapple juice, mango juice","facial wash, toothpaste, toilet paper, shaving cream",
e13525,2014/02/01,"blackberries, bananas",orange juice,toothbrush,"Kinsley, Piper, Lydia, Layla, Piper, Nora, Rylee, Olivia, Eva, Hazel, Claire"
e13529,2014/02/07,"oranges, apples, raspberries, peaches","mineral water, guava juice",shampoo,Willow
e13533,2014/02/13,pears,"coffee, mineral water","facial wash, paper towel, toothbrush, shampoo",
e13534,2014/02/17,"peaches, apples","orange juice, sports drinks","mouthwash, toothbrush, toothpaste, shaving cream",
e13538,2014/02/23,strawberries,"apple juice, milk, guava juice","body lotion, facial wash","Willow, Jackson, Avery, Benjamin"
e13541,2014/02/28,pineapples,"apple juice, tea, sports drinks, pineapple juice","toilet paper, mouth wash","Carter, Andrew, Kayden"
e13542,2014/03/01,"bananas, peaches",sports drinks,shaving cream,
e13546,2014/03/07,pineapples,"soda, tea",paper towel,
e13547,2014/03/08,"apricots, blackberries","chocolate milk, pineapple juice, apple juice","paper towel, shaving cream, facial wash","Lydia, Nevaeh, Eva, Claire, Kinsley, Avery, Rylee, Nora, Piper, Hazel, Piper, Olivia"
e13551,2014/03/13,"apricots, pineapples, cherres, strawberries","sports drinks, apple juice, coffee, mineral water",toothpaste,"Avery, Jackson, Benjamin, Willow"
e13552,2014/03/17,"blueberries, bananas, oranges, nectarines",tea,"shampoo, conditioner, shaving cream, paper towel",
e13556,2014/03/21,"blueberries, apples, strawberries, bananas","orange juice, guava juice, chocolate milk","body lotion, toilet paper, mouth wash, shaving cream",
e13557,2014/03/22,"nectarines, apricots, clementines, blackberries",tea,"facial wash, conditioner, mouthwash",
e13559,2014/03/31,pears,apple juice,"facial wash, toothbrush","Andrew, Emily, Carter, Kayden"
e13565,2014/04/10,"blueberries, nectarines","soda, orange juice, mineral water, tea","body lotion, toothbrush, mouth wash","Andrew, Emily"
e13566,2014/04/12,"pineapples, peaches, mangos, watermelons",pineapple juice,body lotion,
e13570,2014/04/21,"mangos, raspberries, oranges, bananas","coffee, mineral water",paper towel,
e13574,2014/04/29,"pineapples, pears, blackberries","milk, sports drinks","toilet paper, conditioner",
e13577,2014/05/06,blueberries,pineapple juice,"mouth wash, shaving cream","Eva, Hazel, Avery, Kinsley, Nora, Olivia, Lydia, Layla, Nevaeh"
e13580,2014/05/08,"peaches, strawberries","apple juice, milk","shampoo, paper towel, body lotion, facial wash","Nora, Kinsley, Eva, Olivia, Piper, Nevaeh, Rylee, Avery, Layla, Hazel, Claire, Lydia"
e13581,2014/05/10,"mandarins, apricots, cherres","pineapple juice, apple juice","shampoo, shaving cream, facial wash","Emily, Andrew, Carter, Kayden"
e13584,2014/05/14,"mangos, raspberries, mandarins, oranges",chocolate milk,"shampoo, facial wash",
e13585,2014/05/20,"blueberries, pears, mandarins","milk, guava juice, mineral water, soda","toothbrush, paper towel, toilet paper","Kayden, Andrew, Emily"
e13588,2014/05/22,"guava, blackberries, bananas","soda, orange juice, apple juice","paper towel, facial wash, shampoo, conditioner",
e13593,2014/06/03,"guava, raspberries, pears","orange juice, sports drinks, tea, milk","paper towel, conditioner, mouth wash, shaving cream","Kayden, Carter, Andrew, Emily"
e13597,2014/06/06,"blueberries, mangos, pineapples, nectarines","tea, milk, soda, coffee","body lotion, shampoo","Andrew, Emily"
e13598,2014/06/07,"blackberries, pineapples","milk, apple juice, pineapple juice, mango juice","conditioner, facial wash","Nevaeh, Piper, Olivia, Piper, Hazel"
e13600,2014/06/13,"mangos, pears, blueberries","apple juice, orange juice","mouthwash, paper towel, shampoo",
e13601,2014/06/17,mandarins,"milk, guava juice","paper towel, conditioner, toilet paper, mouth wash","Carter, Emily"
e13604,2014/06/19,"strawberries, pears, apricots","tea, sports drinks, chocolate milk","mouthwash, paper towel, shaving cream, toothbrush",
e13605,2014/06/21,mangos,"orange juice, apple juice, soda, guava juice","toilet paper, shampoo, mouth wash, conditioner","Hazel, Nora, Kinsley, Layla, Claire, Rylee"
e13608,2014/06/26,"mangos, nectarines","tea, sports drinks, mineral water",paper towel,Kayden
e13609,2014/07/01,raspberries,milk,"mouthwash, toilet paper, body lotion",
e13616,2014/07/14,"raspberries, apples","tea, mango juice, orange juice","shampoo, facial wash, toothbrush, conditioner",Emily
e13620,2014/07/18,pineapples,"milk, apple juice, mineral water",mouthwash,"Avery, Piper, Layla, Lydia, Rylee, Hazel"
e13621,2014/07/21,"oranges, apricots, pineapples","mango juice, orange juice, mineral water","toothbrush, shampoo",
e13624,2014/07/24,"watermelons, raspberries, mandarins, oranges","sports drinks, tea",paper towel,Carter
e13625,2014/07/27,"mandarins, oranges, blueberries, guava",chocolate milk,shampoo,
e13628,2014/08/04,mangos,orange juice,"body lotion, toilet paper",
e13630,2014/08/09,"mandarins, apricots, blueberries, peaches","apple juice, chocolate milk, mango juice",toothbrush,
e13633,2014/08/13,"strawberries, pears, guava, raspberries","soda, guava juice","paper towel, shampoo, body lotion",Benjamin
e13634,2014/08/16,"oranges, mandarins","mineral water, tea, milk, guava juice","shaving cream, toothbrush, conditioner, body lotion",
e13638,2014/08/21,"blackberries, mangos, peaches","chocolate milk, guava juice","shaving cream, shampoo, toothpaste, conditioner",
e13639,2014/08/26,"blueberries, mandarins, peaches, apples","soda, mineral water",mouth wash,
e13642,2014/08/28,"mandarins, peaches, pears, nectarines",milk,"toilet paper, paper towel, shaving cream, toothpaste",
e13643,2014/08/31,"blackberries, oranges","guava juice, chocolate milk, sports drinks, orange juice","facial wash, mouth wash, toothpaste","Benjamin, Willow, Avery, Jackson"
e13646,2014/09/05,"watermelons, raspberries, clementines",mineral water,"toothpaste, conditioner, shampoo, facial wash",
e13647,2014/09/06,"oranges, clementines, strawberries","guava juice, orange juice, coffee, mango juice",shaving cream,"Carter, Kayden, Andrew, Emily"
e13650,2014/09/11,"strawberries, apples, raspberries","guava juice, tea, mineral water, soda",facial wash,
e13651,2014/09/16,nectarines,tea,"conditioner, facial wash","Avery, Benjamin"
e13654,2014/09/19,"nectarines, pears, bananas, cherres",milk,"toothbrush, facial wash, mouth wash, conditioner",
e13655,2014/09/22,raspberries,"guava juice, mango juice, mineral water, soda",shampoo,
e13657,2014/09/25,"peaches, clementines, bananas","guava juice, chocolate milk, mango juice","mouth wash, paper towel, mouthwash","Kayden, Carter, Emily"
e13658,2014/09/27,"guava, clementines","coffee, mango juice","body lotion, toothpaste",
e13663,2014/10/01,bananas,"coffee, sports drinks, apple juice, guava juice",mouth wash,"Kayden, Carter"
e13664,2014/10/04,"cherres, raspberries, clementines, peaches","mango juice, sports drinks, orange juice, milk","mouthwash, shampoo, facial wash","Kayden, Carter, Andrew"
e13668,2014/10/09,"raspberries, bananas, oranges","milk, tea, mineral water",mouth wash,"Emily, Carter, Andrew, Kayden"
e13669,2014/10/14,"peaches, strawberries, guava","mineral water, coffee, tea, chocolate milk","shaving cream, facial wash","Emily, Andrew, Carter, Kayden"
e13672,2014/10/17,"oranges, pears, blueberries, watermelons",chocolate milk,"shaving cream, toothpaste, facial wash, paper towel",
e13673,2014/10/20,peaches,mineral water,toothpaste,"Andrew, Carter, Kayden, Emily"
e13677,2014/10/24,"blackberries, watermelons, mandarins","coffee, chocolate milk",toothpaste,"Kayden, Emily"
e13678,2014/10/28,"watermelons, pineapples, apples, oranges","apple juice, tea, orange juice, guava juice","toothbrush, conditioner, shaving cream",
e13681,2014/10/30,"strawberries, nectarines, apricots","mineral water, guava juice","mouth wash, facial wash","Benjamin, Avery"
e13682,2014/11/03,"oranges, apples, cherres, mangos","pineapple juice, sports drinks, soda",conditioner,"Emily, Kayden, Carter, Andrew"
e13685,2014/11/08,clementines,"apple juice, soda","shampoo, mouthwash, toothbrush, facial wash",
e13689,2014/11/14,"cherres, apples, strawberries, mandarins","mineral water, sports drinks",mouthwash,"Andrew, Kayden, Emily, Carter"
e13690,2014/11/18,"clementines, apricots","coffee, apple juice, sports drinks","toilet paper, conditioner, toothpaste",
e13693,2014/11/24,"apples, peaches, mangos","orange juice, milk, sports drinks","shampoo, mouth wash, toothpaste","Kayden, Emily, Andrew"
e13698,2014/11/28,"clementines, bananas","pineapple juice, orange juice","body lotion, paper towel",
e13699,2014/11/29,"nectarines, blackberries","milk, coffee","toilet paper, shaving cream, mouth wash",
e13701,2014/12/05,"blackberries, mangos","apple juice, pineapple juice, coffee","shaving cream, toilet paper","Layla, Lydia, Avery, Claire, Eva, Piper, Piper"
e13704,2014/12/11,"raspberries, peaches, apricots","apple juice, milk",toilet paper,"Avery, Hazel, Layla, Nora, Kinsley, Claire, Piper, Lydia, Nevaeh, Olivia"
e13705,2014/12/14,pears,"mineral water, guava juice, mango juice, milk","shampoo, body lotion","Willow, Jackson, Benjamin, Avery"
e13709,2014/12/17,"mandarins, peaches, watermelons, cherres","chocolate milk, mineral water","paper towel, mouthwash, mouth wash, facial wash",
e13710,2014/12/22,"oranges, blueberries, apricots, nectarines","mango juice, chocolate milk, coffee, orange juice",shampoo,
e13712,2014/12/25,"guava, nectarines, mandarins","mineral water, pineapple juice, mango juice, orange juice","toothbrush, shaving cream, paper towel, toilet paper",
e13713,2014/12/30,"nectarines, bananas","apple juice, soda","paper towel, conditioner, shampoo, shaving cream",Avery
e13714,2014/12/31,"strawberries, clementines, apples",tea,"conditioner, paper towel, mouthwash","Willow, Avery, Jackson, Benjamin"
e16913,2015/01/04,"apricots, mangos, guava","sports drinks, chocolate milk","mouth wash, toothpaste, toothbrush",
e16916,2015/01/14,"pears, blackberries, cherres, mangos","mango juice, coffee",mouthwash,"Layla, Olivia, Nora, Eva, Piper"
e16917,2015/01/17,nectarines,tea,"paper towel, facial wash, conditioner, toilet paper",Carter
e16918,2015/01/21,"cherres, bananas","tea, soda, coffee, pineapple juice","facial wash, shaving cream, paper towel",
e16919,2015/01/24,"clementines, watermelons, peaches","tea, soda, orange juice, coffee","mouthwash, conditioner, toothbrush",
e16920,2015/01/25,"mangos, watermelons, apples, guava","soda, coffee, guava juice",paper towel,"Andrew, Emily, Kayden, Carter"
e16922,2015/01/31,"strawberries, mangos, nectarines",soda,"shaving cream, paper towel","Lydia, Nevaeh, Kinsley, Olivia, Rylee, Eva"
e16923,2015/02/03,"clementines, apricots, oranges, blackberries","mineral water, pineapple juice, mango juice","paper towel, shampoo, toothpaste, mouth wash",
e16926,2015/02/05,"nectarines, pineapples, apples, pears","mineral water, guava juice, tea, orange juice",mouthwash,"Andrew, Kayden, Emily"
e16927,2015/02/08,"cherres, raspberries",chocolate milk,"shampoo, body lotion, facial wash",
e16929,2015/02/13,"watermelons, blueberries, nectarines","chocolate milk, sports drinks, guava juice","body lotion, conditioner, shampoo","Claire, Piper, Lydia, Piper, Nevaeh, Layla, Olivia"
e16930,2015/02/18,blackberries,"orange juice, mango juice, mineral water, tea",toothbrush,"Andrew, Kayden, Carter, Emily"
e16933,2015/02/22,"strawberries, blueberries, mandarins",pineapple juice,"shaving cream, toilet paper, body lotion, facial wash",Eva
e16935,2015/02/28,guava,mineral water,"toothbrush, paper towel, shaving cream, shampoo","Olivia, Lydia, Piper, Piper"
e16939,2015/03/06,nectarines,"apple juice, sports drinks, tea, orange juice","toothbrush, shaving cream","Avery, Willow, Jackson, Benjamin"
e16940,2015/03/10,"oranges, blackberries","milk, soda","facial wash, toothbrush",
e16944,2015/03/14,"mandarins, clementines","apple juice, chocolate milk, mango juice, coffee","conditioner, facial wash, mouth wash, toilet paper",
e16945,2015/03/17,"nectarines, blackberries, bananas","mineral water, milk, coffee","toilet paper, shaving cream",
e16947,2015/03/19,"cherres, oranges, clementines","pineapple juice, orange juice, mango juice, guava juice",shaving cream,"Carter, Emily, Andrew, Kayden"
e16948,2015/03/23,"mangos, bananas, strawberries, apples",mineral water,"conditioner, shaving cream, toilet paper, body lotion",
e16952,2015/03/27,"clementines, watermelons, blackberries, guava","sports drinks, guava juice, chocolate milk","toilet paper, shaving cream",Benjamin
e16953,2015/03/30,"apples, cherres",chocolate milk,mouthwash,
e16954,2015/04/02,"mangos, mandarins, pears, guava","soda, coffee, sports drinks, mango juice","conditioner, facial wash, mouthwash, body lotion",
e16955,2015/04/05,apricots,coffee,mouth wash,Carter
e16959,2015/04/14,"watermelons, nectarines, apples, bananas","orange juice, pineapple juice, mango juice, milk","shampoo, toilet paper",Kayden
e16961,2015/04/18,"clementines, bananas","orange juice, coffee","toothpaste, mouthwash, shaving cream","Andrew, Emily, Kayden"
e16962,2015/04/21,blueberries,"mineral water, sports drinks, soda, mango juice","toothbrush, body lotion, facial wash, shampoo","Willow, Avery"
e16965,2015/04/24,"blueberries, strawberries",pineapple juice,"toothpaste, mouthwash, shaving cream, body lotion","Kayden, Emily, Carter"
e16966,2015/04/28,"apples, mangos, blackberries",tea,toothpaste,
e16970,2015/05/02,"blackberries, clementines","mango juice, chocolate milk, soda, guava juice","shampoo, toothpaste, shaving cream",
e16971,2015/05/04,"peaches, watermelons, mandarins, blueberries","pineapple juice, coffee","mouth wash, paper towel","Nora, Eva, Claire, Olivia, Kinsley, Lydia, Piper, Rylee, Piper, Nevaeh"
e16975,2015/05/07,"strawberries, apples, blackberries, cherres",tea,facial wash,Andrew
e16976,2015/05/12,"watermelons, bananas, strawberries","milk, orange juice, sports drinks, chocolate milk",mouthwash,"Emily, Andrew, Kayden, Carter"
e16978,2015/05/17,"blackberries, blueberries, guava, mandarins","sports drinks, apple juice, mineral water","shampoo, toothbrush",Benjamin
e16982,2015/05/23,nectarines,"sports drinks, tea, coffee","toothbrush, mouth wash","Carter, Kayden"
e16983,2015/05/25,"watermelons, pineapples",guava juice,"shaving cream, mouthwash, paper towel, toothpaste",
e16986,2015/05/28,"raspberries, watermelons, oranges","milk, soda, coffee","conditioner, toilet paper, paper towel, shaving cream",
e16987,2015/06/03,"bananas, cherres, blueberries","tea, chocolate milk",toothbrush,
e16989,2015/06/08,"raspberries, mangos, blackberries","milk, pineapple juice, soda","facial wash, shaving cream, shampoo, mouth wash","Claire, Lydia, Hazel, Nevaeh, Layla, Eva"
e16991,2015/06/17,"oranges, blackberries, watermelons, nectarines","mineral water, tea",conditioner,
e16992,2015/06/24,apples,"apple juice, mango juice","toilet paper, facial wash, mouth wash","Willow, Avery, Benjamin, Jackson"
e16994,2015/06/25,"blueberries, peaches, blackberries, mandarins",mango juice,"toothpaste, toothbrush, shampoo","Carter, Andrew"
e16995,2015/06/29,peaches,"guava juice, pineapple juice, soda, apple juice","shampoo, shaving cream, facial wash","Carter, Emily, Andrew, Kayden"
e16998,2015/07/02,"guava, cherres","mango juice, guava juice","mouth wash, toothbrush, mouthwash","Olivia, Kinsley, Claire, Rylee, Layla, Hazel, Nevaeh, Piper, Lydia, Piper, Avery, Nora"
e16999,2015/07/05,peaches,"chocolate milk, mango juice, orange juice, mineral water",toothpaste,"Andrew, Carter, Kayden"
e17000,2015/07/10,blueberries,"milk, tea, coffee, apple juice","shaving cream, body lotion, mouth wash, shampoo","Emily, Kayden"
e17001,2015/07/12,"pineapples, cherres, blueberries, mandarins","soda, coffee, milk",toothpaste,"Emily, Carter"
e17003,2015/07/18,"mangos, peaches, pears, clementines","soda, tea",toothbrush,"Kayden, Andrew, Emily, Carter"
e17004,2015/07/20,"strawberries, peaches, apricots, nectarines","sports drinks, guava juice, coffee","facial wash, conditioner, body lotion",
e17006,2015/07/27,"peaches, raspberries, blackberries","milk, apple juice, pineapple juice, soda","conditioner, mouth wash",
e17009,2015/08/04,peaches,mango juice,"mouthwash, toothpaste","Emily, Andrew, Carter"
e17012,2015/08/09,"blueberries, peaches, oranges, bananas","orange juice, soda, mango juice","toothbrush, mouth wash, toothpaste, toilet paper","Willow, Jackson, Avery"
e17015,2015/08/15,"nectarines, blueberries",soda,"toothpaste, paper towel, shampoo","Avery, Jackson"
e17016,2015/08/19,"mandarins, mangos","sports drinks, milk, chocolate milk, mineral water","body lotion, mouth wash",
e17018,2015/08/22,"blueberries, pears, clementines",coffee,"mouthwash, body lotion, toothpaste","Andrew, Carter, Emily, Kayden"
e17019,2015/08/24,watermelons,"apple juice, orange juice","conditioner, shaving cream, mouth wash, paper towel","Emily, Andrew"
e17023,2015/08/28,"oranges, watermelons","tea, orange juice","body lotion, shampoo, shaving cream","Kinsley, Eva, Hazel, Piper, Claire, Avery, Nora"
