eid,date,people_string,location
e37362,2021/11/01,Penelope,a coffee Shop
e37366,2021/11/07,Natalia,a boba shop
e37369,2021/11/18,Emery,a restaurant
e37373,2021/11/20,Victoria,a park
e37374,2021/11/25,Lillian,a boba shop
e37378,2021/12/01,Ava,a park
e37379,2021/12/05,Matthew,a restaurant
e37380,2021/12/07,Thomas,a restaurant
e37383,2021/12/11,Leonardo,a boba shop
e37384,2021/12/16,Aaron,a park
e37387,2021/12/17,Rylee,a boba shop
e37388,2021/12/23,Amelia,a restaurant
e40569,2022/01/01,Valentina,a restaurant
e40570,2022/01/05,Genesis,a boba shop
e40573,2022/01/10,Theodore,a park
e40574,2022/01/14,Grayson,a restaurant
e40576,2022/01/17,Maverick,a restaurant
e40577,2022/01/20,Leonardo,a park
e40582,2022/01/24,Parker,a coffee Shop
e40583,2022/01/25,Ariana,a park
e40588,2022/01/31,Christian,a coffee Shop
e40592,2022/02/07,Mila,a coffee Shop
e40593,2022/02/09,Aiden,a park
e40597,2022/02/13,Leilani,a park
e40598,2022/02/17,Amelia,a restaurant
e40602,2022/02/25,Leah,a park
e40605,2022/02/27,Axel,a park
e40612,2022/03/20,Jacob,a restaurant
e40613,2022/03/24,Easton,a boba shop
e40615,2022/03/26,Jordan,a boba shop
e40616,2022/03/29,Ezekiel,a boba shop
e40620,2022/04/04,Abigail,a park
e40621,2022/04/08,David,a park
e40625,2022/04/10,Michael,a boba shop
e40628,2022/04/17,Cora,a boba shop
e40632,2022/04/23,Noah,a boba shop
e40637,2022/04/30,John,a restaurant
e40638,2022/05/05,Jeremiah,a boba shop
e40641,2022/05/11,Aubrey,a park
e40644,2022/05/14,Valentina,a boba shop
e40645,2022/05/20,Jameson,a park
e40652,2022/06/04,Amelia,a coffee Shop
e40653,2022/06/08,Hailey,a coffee Shop
e40658,2022/06/13,Adam,a restaurant
e40659,2022/06/16,Hannah,a boba shop
e40665,2022/06/27,Madison,a park
e40666,2022/06/30,Mila,a coffee Shop
e40669,2022/07/02,Ariana,a restaurant
e40673,2022/07/11,Owen,a coffee Shop
e40680,2022/07/23,Owen,a restaurant
e40685,2022/08/04,Alon,a boba shop
e40690,2022/08/06,Leah,a park
e40691,2022/08/09,Lucas,a coffee Shop
e40700,2022/08/29,Nathan,a coffee Shop
e40701,2022/08/30,Richard,a park
e40707,2022/09/06,Sofia,a park
e40712,2022/09/10,Emilia,a park
e40714,2022/09/18,Ezra,a coffee Shop
e40715,2022/09/21,Adrian,a restaurant
e40720,2022/10/05,Emily,a park
e40723,2022/10/10,Mila,a park
e40724,2022/10/11,Eleanor,a park
e40728,2022/10/15,Wang-Chiew,a restaurant
e40732,2022/10/22,Everett,a park
e40733,2022/10/28,Addison,a coffee Shop
e40741,2022/11/05,Penelope,a park
e40744,2022/11/20,Aiden,a boba shop
e40745,2022/11/24,Ryan,a boba shop
e40750,2022/11/29,Jayden,a boba shop
e40756,2022/12/08,Caleb,a boba shop
e40761,2022/12/10,Logan,a boba shop
e40762,2022/12/16,Rylee,a coffee Shop
e40767,2022/12/18,Aaron,a boba shop
e40771,2022/12/26,Elijah,a restaurant
e40774,2022/12/31,Avery,a boba shop
