eid,date,fruits,drinks,toiletries,people_string
e6154,2014/10/24,"clementines, mandarins","mineral water, milk, sports drinks, soda","mouth wash, shaving cream, toothbrush",
e6158,2014/11/01,"apples, mandarins","soda, chocolate milk, coffee",conditioner,
e6162,2014/11/17,"oranges, raspberries",pineapple juice,"shampoo, conditioner",
e6164,2014/11/25,mangos,"chocolate milk, mineral water, mango juice","toothbrush, conditioner","Jackson, Benjamin"
e6166,2014/12/02,"clementines, cherres, apricots, blackberries","pineapple juice, sports drinks, apple juice, coffee","conditioner, paper towel, body lotion, mouth wash","Carter, Andrew, Kayden, Emily"
e6169,2014/12/04,"strawberries, blackberries, apricots, watermelons","tea, mango juice","mouthwash, shampoo",Nora
e6170,2014/12/08,"mandarins, pineapples, raspberries","guava juice, coffee, sports drinks, tea",toothbrush,
e6171,2014/12/11,"clementines, raspberries","soda, chocolate milk","mouthwash, body lotion",
e6172,2014/12/15,"blackberries, apples, pineapples","coffee, mineral water",facial wash,
e6174,2014/12/22,strawberries,"guava juice, mango juice, apple juice, coffee","shampoo, toothbrush, mouthwash",Carter
e6175,2014/12/25,"pineapples, watermelons, clementines","chocolate milk, sports drinks, apple juice, orange juice","paper towel, facial wash, shaving cream, shampoo",
e6176,2014/12/27,"apricots, blueberries, peaches","coffee, guava juice","shaving cream, shampoo, facial wash",
e6178,2014/12/31,"blueberries, clementines, oranges, bananas","guava juice, soda, pineapple juice",body lotion,
e7599,2015/01/02,"apples, mandarins",sports drinks,"toothbrush, paper towel, shampoo",
e7600,2015/01/06,"strawberries, peaches, apples, watermelons",milk,"facial wash, mouth wash, body lotion","Emily, Kayden, Andrew, Carter"
e7602,2015/01/09,"apricots, nectarines, cherres, pineapples","soda, mango juice, milk, pineapple juice",mouth wash,"Emily, Kayden, Andrew"
e7603,2015/01/12,"pineapples, watermelons, clementines","mango juice, apple juice",facial wash,
e7605,2015/01/16,mandarins,"chocolate milk, milk, mineral water, mango juice","body lotion, facial wash, shaving cream, conditioner",
e7606,2015/01/20,apricots,"chocolate milk, mineral water","body lotion, toothbrush, shaving cream","Andrew, Emily"
e7611,2015/01/30,"cherres, nectarines, watermelons","coffee, apple juice, soda","toothpaste, shampoo, conditioner",
e7612,2015/02/02,"pineapples, blueberries","coffee, chocolate milk, soda, orange juice","shaving cream, mouth wash, toothpaste",
e7618,2015/02/15,"nectarines, watermelons, blueberries","guava juice, apple juice","toilet paper, mouthwash",
e7621,2015/02/21,"mandarins, blueberries",chocolate milk,"facial wash, toilet paper, shaving cream",
e7622,2015/02/22,"apples, guava, watermelons, pears","guava juice, pineapple juice, mineral water, sports drinks","mouthwash, paper towel","Avery, Rylee, Piper"
e7625,2015/02/28,"blackberries, bananas, cherres","mango juice, sports drinks, tea, soda","facial wash, mouthwash, toothpaste",
e7626,2015/03/03,"pineapples, nectarines, mandarins","mineral water, apple juice, mango juice","shaving cream, mouthwash","Andrew, Kayden, Carter, Emily"
e7629,2015/03/09,"clementines, nectarines, watermelons","coffee, soda, orange juice, milk","conditioner, paper towel",
e7631,2015/03/14,"apricots, mangos","orange juice, coffee, chocolate milk","body lotion, toothbrush, shaving cream, toothpaste",Claire
e7632,2015/03/16,raspberries,"tea, mango juice","facial wash, mouth wash",
e7634,2015/03/20,"peaches, clementines, watermelons","milk, mineral water, guava juice","facial wash, paper towel, mouthwash, shaving cream",
e7638,2015/03/26,"peaches, pineapples, nectarines","tea, orange juice","toilet paper, mouth wash, shampoo","Avery, Piper, Nevaeh, Hazel, Claire, Rylee, Eva, Olivia, Layla, Nora"
e7639,2015/03/29,blueberries,"guava juice, milk, chocolate milk, apple juice","conditioner, shampoo, mouth wash, toilet paper","Emily, Carter"
e7642,2015/04/13,"apples, oranges","soda, guava juice, orange juice, mango juice","toothbrush, toothpaste, mouth wash",
e7643,2015/04/16,"blackberries, peaches",apple juice,paper towel,"Benjamin, Willow"
e7645,2015/04/25,"guava, nectarines, apples","apple juice, milk","toothbrush, toilet paper",
e7648,2015/05/06,"blueberries, apples, mangos","guava juice, pineapple juice","toothpaste, mouthwash","Hazel, Piper, Eva, Lydia, Piper, Nevaeh, Avery, Layla, Rylee, Nora, Kinsley, Olivia, Claire"
e7650,2015/05/09,"clementines, nectarines, cherres, guava","soda, chocolate milk","toilet paper, mouth wash",
e7651,2015/05/10,"mangos, strawberries","milk, mango juice, apple juice","toothpaste, toothbrush, toilet paper","Jackson, Benjamin"
e7655,2015/05/15,"clementines, pears, cherres","mango juice, coffee","shampoo, toothpaste, paper towel","Emily, Kayden, Carter"
e7656,2015/05/20,peaches,tea,mouthwash,
e7660,2015/05/27,"clementines, strawberries","mango juice, pineapple juice","mouth wash, paper towel",Kayden
e7662,2015/06/19,"pineapples, blackberries, watermelons",mango juice,"shaving cream, body lotion, mouthwash","Lydia, Eva, Olivia, Kinsley, Nevaeh, Rylee, Piper, Nora, Hazel, Avery, Layla, Piper, Claire"
e7663,2015/06/24,"mandarins, nectarines",coffee,"shaving cream, mouth wash",
e7667,2015/06/25,"mandarins, nectarines, pineapples, cherres","tea, mineral water","shampoo, mouth wash","Jackson, Benjamin, Willow, Avery"
e7668,2015/06/29,raspberries,"apple juice, pineapple juice, guava juice, sports drinks","toothpaste, conditioner, toothbrush, toilet paper","Piper, Layla, Kinsley"
e7669,2015/07/06,"blackberries, clementines","tea, guava juice","toilet paper, facial wash",
e7672,2015/07/10,oranges,"apple juice, orange juice, pineapple juice","facial wash, conditioner, paper towel","Lydia, Layla, Avery, Piper, Nora, Claire, Eva, Kinsley, Rylee, Nevaeh, Olivia, Hazel"
e7675,2015/07/25,"pears, apricots","guava juice, pineapple juice, orange juice, coffee","toothpaste, paper towel, toothbrush, facial wash",
e7677,2015/08/03,pears,milk,"toothbrush, mouth wash, body lotion, toothpaste","Rylee, Olivia, Kinsley, Claire, Lydia"
e7678,2015/08/08,"apricots, mandarins, strawberries, nectarines","pineapple juice, coffee, mineral water",toothpaste,"Jackson, Benjamin, Willow"
e7679,2015/08/11,bananas,"apple juice, milk, pineapple juice, soda","mouthwash, facial wash",
e7681,2015/08/13,raspberries,"sports drinks, guava juice, coffee","facial wash, paper towel",
e7682,2015/08/16,"oranges, bananas, peaches, pears","chocolate milk, pineapple juice, sports drinks","mouthwash, paper towel",
e7684,2015/08/25,"guava, bananas, mandarins, raspberries",mango juice,"paper towel, mouth wash, conditioner, shampoo",
e7685,2015/08/27,blueberries,"guava juice, mineral water, sports drinks",toothpaste,"Piper, Piper, Rylee"
e7686,2015/09/02,"apricots, watermelons, bananas","coffee, pineapple juice, mango juice","shaving cream, mouth wash, toilet paper","Kayden, Andrew, Emily"
e7691,2015/09/13,"apricots, guava, raspberries","guava juice, coffee","toothpaste, body lotion","Kayden, Emily, Andrew"
e7695,2015/09/24,"guava, blackberries, apples, raspberries","coffee, sports drinks",toothbrush,"Nevaeh, Claire, Lydia, Layla"
e7699,2015/10/01,"nectarines, clementines, cherres, pears",sports drinks,"toilet paper, body lotion",
e7700,2015/10/07,"blackberries, mangos","sports drinks, orange juice",shaving cream,
e7702,2015/10/10,"nectarines, strawberries, watermelons, apples",coffee,"shaving cream, body lotion","Andrew, Kayden"
e7704,2015/10/20,"peaches, raspberries, watermelons, pears","apple juice, mineral water","body lotion, toothpaste",
e7707,2015/11/03,oranges,"tea, coffee","conditioner, shaving cream",Emily
e7708,2015/11/08,"nectarines, pears, apples, blackberries","orange juice, sports drinks, pineapple juice","body lotion, shampoo","Piper, Rylee, Claire, Nora, Kinsley, Olivia, Piper, Eva, Lydia, Nevaeh, Avery"
e7712,2015/11/13,apples,"apple juice, milk, chocolate milk, coffee",mouthwash,
e7713,2015/11/21,"blackberries, peaches",mango juice,paper towel,"Nevaeh, Nora, Kinsley, Olivia, Avery, Claire, Layla, Hazel, Rylee, Lydia, Piper, Piper, Eva"
e7716,2015/11/28,"raspberries, peaches, watermelons","orange juice, sports drinks, apple juice, guava juice","toilet paper, conditioner, paper towel","Claire, Kinsley, Eva, Layla, Nevaeh"
e7717,2015/12/02,"apples, oranges, pineapples, guava","soda, mineral water, tea, mango juice",facial wash,
e7720,2015/12/04,pears,sports drinks,"conditioner, mouthwash",
e7721,2015/12/06,"pineapples, apricots","coffee, soda",facial wash,
e7722,2015/12/10,apricots,"guava juice, orange juice, chocolate milk",mouth wash,"Piper, Hazel, Claire, Lydia"
e7723,2015/12/13,"peaches, raspberries","chocolate milk, soda, orange juice","shaving cream, facial wash, toothpaste, toothbrush",
e7726,2015/12/19,"watermelons, apricots, pears, strawberries","tea, mineral water","mouth wash, toilet paper, facial wash, body lotion",
e7727,2015/12/21,"blackberries, raspberries","soda, milk, tea","shampoo, toilet paper, mouthwash, mouth wash",
e7730,2015/12/26,"strawberries, nectarines, blueberries, mangos","mango juice, pineapple juice, milk, chocolate milk","shaving cream, toothbrush",
e7731,2015/12/27,"oranges, raspberries",mineral water,"paper towel, body lotion, facial wash",
e9111,2016/01/26,"pears, mandarins, blackberries, mangos","mango juice, mineral water, chocolate milk","shampoo, toilet paper, mouth wash",Kinsley
e9113,2016/01/30,"blueberries, cherres, clementines","mineral water, soda, coffee","toothpaste, toothbrush, shampoo, body lotion",
e9114,2016/02/02,"mandarins, peaches, apricots","chocolate milk, soda","paper towel, toothbrush",
e9118,2016/02/07,"blueberries, apricots, bananas, pineapples","guava juice, chocolate milk",toilet paper,"Nora, Layla, Olivia, Kinsley, Hazel, Rylee, Avery, Lydia, Nevaeh, Piper, Claire, Eva, Piper"
e9121,2016/02/13,mandarins,chocolate milk,"mouthwash, facial wash","Kinsley, Nevaeh, Layla, Piper, Eva, Nora, Lydia, Rylee, Avery, Hazel, Olivia, Claire, Piper"
e9123,2016/02/23,"nectarines, clementines","mineral water, sports drinks, guava juice, chocolate milk","mouthwash, toothbrush",Carter
e9125,2016/02/27,pineapples,mineral water,"conditioner, shaving cream, mouthwash","Andrew, Carter"
e9126,2016/03/02,peaches,chocolate milk,"paper towel, facial wash, toilet paper, body lotion",
e9130,2016/03/08,clementines,mineral water,body lotion,"Nora, Nevaeh, Hazel, Avery, Olivia, Piper, Rylee, Lydia, Claire"
e9133,2016/03/12,"mangos, cherres, pears","soda, tea, guava juice, coffee","toothbrush, toothpaste",
e9134,2016/03/15,"strawberries, pears","sports drinks, chocolate milk",toothpaste,"Emily, Andrew"
e9141,2016/04/01,"pineapples, guava, bananas","milk, coffee, tea",facial wash,
e9143,2016/04/13,raspberries,"coffee, tea, apple juice","conditioner, toothbrush",Emily
e9144,2016/04/17,"cherres, apricots","guava juice, orange juice, coffee",toothpaste,
e9151,2016/05/19,"cherres, guava, bananas","apple juice, mineral water","toothpaste, paper towel, toilet paper, toothbrush","Avery, Willow, Benjamin, Jackson"
e9155,2016/05/26,"blackberries, guava, blueberries, mandarins",milk,body lotion,
e9157,2016/05/27,"nectarines, pears, guava","mineral water, chocolate milk","conditioner, toilet paper, facial wash, shaving cream","Willow, Benjamin"
e9158,2016/06/01,"bananas, cherres, oranges, blackberries","mineral water, milk, orange juice, tea",toothbrush,
e9163,2016/06/21,"nectarines, pears, raspberries, apricots","mineral water, mango juice, orange juice, soda","body lotion, mouth wash",
e9168,2016/06/28,"pineapples, mangos, oranges, mandarins","mango juice, mineral water","toilet paper, body lotion, toothpaste",
e9171,2016/07/06,clementines,"orange juice, chocolate milk, mango juice, apple juice",toothpaste,"Andrew, Carter"
e9176,2016/07/14,strawberries,"sports drinks, coffee","paper towel, toothbrush",
e9177,2016/07/15,"blueberries, apples, raspberries, mandarins",milk,"conditioner, mouth wash, shaving cream, shampoo","Andrew, Emily, Kayden"
e9178,2016/07/19,"peaches, blueberries, apples, raspberries","orange juice, apple juice","shaving cream, paper towel, toothpaste, toilet paper",
e9182,2016/07/23,"raspberries, peaches, watermelons",coffee,mouth wash,
e9183,2016/07/28,apples,"pineapple juice, milk, chocolate milk, mango juice",facial wash,"Nevaeh, Eva, Kinsley, Hazel, Nora, Claire, Rylee, Olivia, Lydia, Layla, Piper"
e9184,2016/07/31,mandarins,"chocolate milk, mango juice, soda",toilet paper,
e9185,2016/08/03,mangos,"milk, orange juice",toothbrush,"Andrew, Kayden, Emily"
e9187,2016/08/08,"guava, blueberries","apple juice, mineral water, coffee, orange juice","shaving cream, mouth wash, body lotion, toothbrush",
e9190,2016/08/15,apples,"mineral water, guava juice","mouthwash, facial wash, shaving cream","Emily, Carter, Andrew, Kayden"
e9193,2016/08/30,"pineapples, apples","pineapple juice, sports drinks, milk, coffee",conditioner,Emily
e9195,2016/09/03,raspberries,"mango juice, apple juice","shaving cream, paper towel, conditioner, mouthwash",
e9196,2016/09/07,"cherres, strawberries, raspberries, oranges","apple juice, orange juice, coffee, guava juice","paper towel, shampoo, mouth wash, toothbrush",
e9197,2016/09/14,"pineapples, peaches","orange juice, chocolate milk, guava juice","shampoo, mouthwash, facial wash, toilet paper",
e9200,2016/09/20,"blueberries, cherres",sports drinks,body lotion,
e9204,2016/10/02,watermelons,"pineapple juice, sports drinks, apple juice",mouthwash,
e9205,2016/10/04,"apricots, mandarins","pineapple juice, apple juice, tea","mouthwash, shaving cream, facial wash",
e9206,2016/10/08,"mandarins, watermelons, blackberries","coffee, orange juice","toothbrush, shampoo","Rylee, Olivia, Piper, Nora, Hazel, Lydia, Layla"
e9209,2016/10/26,"raspberries, strawberries, watermelons","sports drinks, apple juice, milk, chocolate milk","shampoo, mouthwash, toothpaste, conditioner","Carter, Kayden"
e9210,2016/10/28,"strawberries, clementines, cherres",coffee,"shampoo, facial wash, toothpaste","Benjamin, Jackson"
e9211,2016/10/31,pineapples,"pineapple juice, chocolate milk",paper towel,
e9214,2016/11/06,cherres,"orange juice, mineral water, coffee","toilet paper, conditioner",
e9215,2016/11/07,"pears, mangos, bananas, nectarines","soda, coffee",facial wash,"Kayden, Andrew"
e9217,2016/11/19,"watermelons, pineapples, mandarins","apple juice, chocolate milk, soda",toilet paper,
e9219,2016/11/29,peaches,"soda, coffee",toothpaste,
e9222,2016/12/02,"cherres, mangos, strawberries, pineapples","apple juice, milk, pineapple juice, mango juice",mouthwash,
e9223,2016/12/05,"blackberries, raspberries, mandarins",apple juice,"mouthwash, shampoo, toothbrush",
e9225,2016/12/11,"nectarines, mandarins, oranges","pineapple juice, milk","toothpaste, mouth wash, shaving cream, body lotion",Emily
e9226,2016/12/15,"bananas, oranges","apple juice, guava juice, mineral water, milk","toilet paper, shampoo, mouthwash",
e9230,2016/12/17,"peaches, pineapples",apple juice,"shaving cream, shampoo",Kayden
e10659,2017/01/04,apples,sports drinks,toothbrush,"Claire, Nora"
e10663,2017/01/09,"bananas, raspberries, apricots",soda,"body lotion, shampoo, mouth wash, conditioner",Emily
e10664,2017/01/14,"apricots, peaches","mineral water, milk",facial wash,
e10666,2017/01/19,watermelons,pineapple juice,"conditioner, mouth wash, toothbrush, toothpaste",
e10668,2017/01/25,"mandarins, guava, clementines",chocolate milk,"conditioner, mouthwash, paper towel","Benjamin, Willow"
e10671,2017/01/30,"peaches, bananas, cherres, watermelons","sports drinks, guava juice, tea","toothpaste, paper towel, mouth wash",
e10676,2017/02/08,apricots,"chocolate milk, apple juice, soda","body lotion, mouthwash",
e10680,2017/02/12,"peaches, mangos, raspberries, cherres","pineapple juice, tea, chocolate milk, sports drinks","toothbrush, shaving cream, mouth wash, facial wash",
e10681,2017/02/17,"apples, guava, pears, blackberries","sports drinks, orange juice, guava juice",conditioner,
e10683,2017/02/20,"pineapples, guava, clementines, strawberries","apple juice, guava juice, milk","shampoo, toilet paper, toothpaste, mouth wash","Emily, Andrew"
e10684,2017/03/03,"blackberries, bananas, cherres","guava juice, chocolate milk",paper towel,Carter
e10686,2017/03/06,"strawberries, nectarines, clementines, guava","sports drinks, apple juice, coffee, tea","shaving cream, mouth wash, toothpaste","Rylee, Eva, Lydia, Nora, Hazel, Nevaeh, Piper, Piper"
e10687,2017/03/10,"nectarines, blueberries, blackberries, strawberries","tea, mango juice, apple juice","mouth wash, mouthwash, toilet paper, facial wash","Carter, Andrew, Kayden"
e10690,2017/03/18,raspberries,"chocolate milk, milk, mango juice",shaving cream,"Carter, Kayden, Emily"
e10697,2017/04/04,"bananas, blueberries, peaches","tea, mineral water, coffee","mouthwash, shampoo","Emily, Andrew, Kayden, Carter"
e10698,2017/04/05,"clementines, apples, cherres, blackberries","milk, apple juice, tea","mouthwash, body lotion, shaving cream",
e10700,2017/04/09,"pineapples, blueberries, watermelons, peaches",soda,"mouth wash, mouthwash, shampoo","Avery, Jackson"
e10703,2017/04/17,"clementines, oranges, guava",mango juice,"body lotion, shampoo, paper towel, shaving cream",
e10705,2017/04/27,"clementines, nectarines, oranges","apple juice, guava juice","facial wash, mouth wash, shampoo, paper towel","Benjamin, Willow"
e10708,2017/05/05,"mangos, oranges, watermelons, blueberries",apple juice,"mouthwash, facial wash, body lotion",Willow
e10712,2017/05/11,"mandarins, pineapples","apple juice, milk","toothpaste, paper towel, shaving cream",
e10714,2017/05/27,"apricots, pineapples, strawberries","pineapple juice, mango juice, sports drinks","facial wash, mouthwash, paper towel, toilet paper","Nora, Avery, Piper, Nevaeh, Claire, Rylee, Hazel, Lydia, Kinsley, Olivia"
e10716,2017/06/03,pineapples,"tea, coffee","mouth wash, mouthwash","Willow, Benjamin"
e10721,2017/06/12,mangos,tea,mouth wash,
e10722,2017/06/15,"mandarins, guava, clementines",tea,mouth wash,Andrew
e10723,2017/06/24,mandarins,guava juice,"toothpaste, toothbrush",
e10724,2017/06/28,blackberries,milk,toothbrush,
e10728,2017/07/03,"nectarines, mangos, peaches, watermelons","sports drinks, chocolate milk",mouthwash,
e10729,2017/07/05,"bananas, oranges, apples, cherres","tea, coffee","mouthwash, body lotion, shampoo",
e10731,2017/07/10,"bananas, oranges",sports drinks,"shaving cream, body lotion, toothpaste","Hazel, Claire, Eva, Nora, Nevaeh, Avery, Rylee"
e10735,2017/07/26,"nectarines, bananas, cherres","soda, chocolate milk","mouth wash, shampoo",
e10737,2017/08/02,"apples, peaches, oranges, pears","guava juice, tea",shampoo,
e10739,2017/08/09,raspberries,"sports drinks, mango juice","body lotion, shaving cream, mouthwash",
e10741,2017/08/14,strawberries,"chocolate milk, orange juice, mango juice, sports drinks","mouth wash, toothpaste, shaving cream",Emily
e10742,2017/08/19,nectarines,"sports drinks, chocolate milk, apple juice, mango juice",mouth wash,
e10744,2017/08/20,"apricots, strawberries, mandarins, raspberries",milk,"shampoo, paper towel, body lotion",
e10745,2017/08/25,"pears, bananas",orange juice,"paper towel, conditioner, mouth wash",
e10746,2017/08/31,"oranges, watermelons",milk,mouth wash,
e10748,2017/09/08,"guava, watermelons","mango juice, guava juice, chocolate milk, apple juice","toothpaste, paper towel",
e10749,2017/09/11,"raspberries, guava, pineapples, watermelons","soda, guava juice, orange juice","paper towel, mouthwash, toothpaste, body lotion",
e10750,2017/09/13,nectarines,"soda, sports drinks, guava juice","toilet paper, facial wash, mouth wash, toothpaste","Jackson, Benjamin, Willow, Avery"
e10754,2017/10/01,"watermelons, strawberries","chocolate milk, soda, mineral water","toothpaste, body lotion, mouthwash, paper towel",Nevaeh
e10755,2017/10/07,"apricots, peaches","tea, apple juice, sports drinks",conditioner,
e10758,2017/10/17,"cherres, mangos, watermelons, clementines","tea, orange juice",shaving cream,"Claire, Avery, Kinsley, Piper, Nora, Eva, Hazel, Rylee, Piper"
e10759,2017/10/19,"oranges, raspberries",chocolate milk,"mouthwash, toilet paper, toothbrush",Emily
e10762,2017/10/27,"guava, pears","mineral water, orange juice","shaving cream, mouthwash, toilet paper, paper towel",
e10763,2017/11/04,"raspberries, pears, cherres",sports drinks,"mouthwash, conditioner","Rylee, Avery, Hazel"
e10766,2017/11/08,"nectarines, apples, raspberries","guava juice, coffee, soda",conditioner,"Kayden, Carter, Emily, Andrew"
e10769,2017/11/14,"watermelons, cherres, guava, strawberries","coffee, sports drinks","shaving cream, facial wash, conditioner","Emily, Andrew"
e10773,2017/11/20,"mangos, blackberries, mandarins, apples","pineapple juice, apple juice",toothpaste,"Rylee, Nora, Lydia, Claire, Piper, Avery"
e10774,2017/12/01,"apricots, guava","chocolate milk, mineral water, milk, soda","mouthwash, shampoo",
e10776,2017/12/05,mangos,"sports drinks, coffee","shampoo, shaving cream",
e10778,2017/12/12,"guava, apples","mango juice, pineapple juice, guava juice, milk","facial wash, toilet paper, conditioner, toothbrush","Piper, Nevaeh, Lydia"
e12170,2018/01/10,"apples, apricots, clementines, pears",pineapple juice,"mouth wash, shaving cream","Emily, Andrew, Carter"
e12172,2018/01/16,"blackberries, mangos, apricots","tea, chocolate milk, soda, mango juice","conditioner, toilet paper, shampoo",Andrew
e12173,2018/01/21,"guava, clementines, pears","sports drinks, soda","toothpaste, body lotion, conditioner, paper towel",
e12175,2018/01/26,nectarines,"guava juice, milk, mineral water, sports drinks","conditioner, toothpaste, mouth wash",
e12176,2018/01/29,"guava, peaches, blackberries, mangos","chocolate milk, apple juice, orange juice","paper towel, facial wash, shaving cream","Carter, Emily, Andrew"
e12179,2018/02/05,"oranges, nectarines, apricots","mango juice, mineral water, tea, pineapple juice","conditioner, toothpaste, shampoo, facial wash","Benjamin, Jackson"
e12180,2018/02/11,"blueberries, guava, apricots, raspberries","guava juice, mineral water, sports drinks, coffee","mouth wash, body lotion",
e12182,2018/02/15,"apples, raspberries",chocolate milk,body lotion,
e12184,2018/02/23,"apricots, bananas","pineapple juice, soda",toothpaste,
e12186,2018/02/28,blackberries,"apple juice, coffee, mineral water, mango juice","facial wash, conditioner, toilet paper, body lotion","Kayden, Emily, Andrew, Carter"
e12189,2018/03/06,"blueberries, pears","mineral water, milk","toothpaste, mouthwash, shaving cream",
e12190,2018/03/11,"clementines, mangos, peaches","orange juice, mineral water, apple juice, milk",toothbrush,"Carter, Kayden, Emily"
e12193,2018/03/15,"watermelons, pineapples, mangos","pineapple juice, mango juice, sports drinks","body lotion, conditioner, facial wash, paper towel","Kayden, Carter"
e12196,2018/03/21,"blackberries, apples",chocolate milk,"mouth wash, body lotion, mouthwash",
e12198,2018/03/31,"blackberries, bananas, mangos, apples",apple juice,"paper towel, toilet paper, mouth wash, conditioner","Carter, Emily"
e12200,2018/04/02,mangos,"mineral water, chocolate milk, tea, milk","body lotion, toilet paper, facial wash, toothpaste",
e12201,2018/04/05,"nectarines, blueberries, pears, cherres",sports drinks,body lotion,"Willow, Avery, Jackson"
e12202,2018/04/12,mandarins,"mango juice, tea",body lotion,
e12204,2018/05/06,peaches,"apple juice, orange juice, milk",toothbrush,
e12206,2018/05/10,"clementines, watermelons","coffee, soda, milk","toilet paper, shaving cream, mouth wash, shampoo",
e12210,2018/05/27,cherres,"apple juice, milk, sports drinks",toothbrush,
e12212,2018/05/30,"cherres, apples",pineapple juice,"paper towel, shaving cream",Andrew
e12213,2018/06/01,pineapples,"pineapple juice, guava juice, soda, orange juice","shaving cream, paper towel",
e12216,2018/06/04,"oranges, apples, apricots, blackberries","apple juice, orange juice",paper towel,"Avery, Willow, Benjamin, Jackson"
e12217,2018/06/10,"strawberries, watermelons, bananas","coffee, mineral water, milk, chocolate milk","shampoo, mouth wash, shaving cream, toothbrush",
e12219,2018/06/16,"mandarins, mangos, apricots, bananas","soda, apple juice","paper towel, mouthwash, toothpaste",
e12220,2018/06/20,strawberries,sports drinks,shaving cream,
e12221,2018/06/23,"raspberries, pears, oranges, clementines",orange juice,"toilet paper, shaving cream, mouthwash","Andrew, Kayden, Carter"
e12224,2018/06/26,"oranges, guava, apricots","guava juice, mineral water","paper towel, body lotion",
e12225,2018/07/07,"pineapples, raspberries, strawberries","soda, apple juice, milk",toothbrush,Emily
e12230,2018/07/17,"strawberries, mandarins, pineapples, guava","soda, orange juice, guava juice, coffee","shampoo, conditioner","Kayden, Andrew, Carter"
e12231,2018/07/19,"oranges, watermelons, apricots","soda, orange juice, sports drinks","toothpaste, mouthwash","Layla, Piper, Lydia, Nora, Rylee, Olivia"
e12232,2018/07/25,"pears, apples, pineapples",guava juice,body lotion,
e12233,2018/07/26,"strawberries, apples","orange juice, apple juice","mouthwash, facial wash, toothpaste, shaving cream",
e12235,2018/08/07,"pears, bananas, guava, cherres","tea, soda",shampoo,"Nora, Layla, Avery, Lydia, Eva, Olivia, Nevaeh, Rylee, Piper, Claire, Piper, Hazel, Kinsley"
e12238,2018/08/15,"peaches, guava, pineapples","apple juice, orange juice, coffee","mouth wash, facial wash",
e12239,2018/08/19,"bananas, pineapples, guava, apples","apple juice, chocolate milk",conditioner,
e12240,2018/08/22,oranges,"pineapple juice, tea","paper towel, facial wash, shampoo, shaving cream","Kinsley, Lydia, Claire, Avery, Layla, Nevaeh, Hazel, Olivia"
e12241,2018/08/23,"strawberries, mandarins, apples, oranges","soda, sports drinks, milk, pineapple juice","shampoo, facial wash",
e12243,2018/08/27,"oranges, strawberries, raspberries","sports drinks, soda, tea",facial wash,"Hazel, Nevaeh, Rylee, Layla"
e12244,2018/09/01,"mandarins, bananas",coffee,conditioner,
e12246,2018/09/09,"mangos, mandarins, oranges, blueberries",mineral water,"facial wash, conditioner, mouth wash",
e12248,2018/09/14,"peaches, blueberries, raspberries",orange juice,"toilet paper, shaving cream, mouth wash",
e12251,2018/09/23,"watermelons, pears, pineapples","chocolate milk, sports drinks, soda, apple juice","mouth wash, toothpaste","Emily, Andrew, Kayden, Carter"
e12254,2018/10/02,peaches,"apple juice, pineapple juice, orange juice",paper towel,Andrew
e12255,2018/10/05,"mangos, peaches, pineapples, bananas","tea, guava juice","body lotion, toothpaste, toothbrush, shaving cream",Olivia
e12259,2018/10/08,"guava, apples, clementines, peaches",pineapple juice,facial wash,
e12262,2018/10/15,"blackberries, clementines","mango juice, mineral water",paper towel,"Nora, Avery"
e12263,2018/10/20,"apricots, nectarines","coffee, tea, pineapple juice","toothpaste, mouth wash, toothbrush, toilet paper",
e12266,2018/11/01,"mangos, raspberries, blueberries, cherres","soda, coffee, sports drinks, milk",toilet paper,
e12269,2018/11/10,raspberries,"chocolate milk, orange juice, sports drinks, milk","toothpaste, body lotion, toilet paper","Hazel, Piper, Kinsley, Nora"
e12271,2018/11/16,"cherres, pineapples","chocolate milk, soda, milk",mouthwash,"Kayden, Carter, Emily"
e12274,2018/11/20,"pineapples, watermelons, pears, bananas","soda, sports drinks","shampoo, conditioner","Kinsley, Hazel, Layla"
e12275,2018/11/25,"bananas, strawberries, watermelons",mango juice,"mouthwash, conditioner, body lotion, toothpaste","Nora, Eva, Hazel, Rylee, Nevaeh, Lydia, Claire, Layla, Piper"
e12277,2018/11/28,"peaches, raspberries, nectarines","guava juice, soda, sports drinks","shaving cream, mouth wash, toilet paper",
e12278,2018/11/29,apples,"milk, orange juice, mango juice, chocolate milk","paper towel, mouthwash, toilet paper, body lotion","Piper, Olivia, Piper, Kinsley, Rylee, Nevaeh, Hazel, Avery, Layla, Eva, Nora"
e12280,2018/12/09,"pineapples, raspberries, peaches, cherres","apple juice, tea, orange juice","toothbrush, body lotion, toilet paper",
e12281,2018/12/20,"pears, watermelons, mangos, guava","orange juice, coffee",shampoo,"Kinsley, Hazel, Nevaeh"
e13646,2019/01/06,"blueberries, pineapples","guava juice, chocolate milk, milk, soda","toilet paper, toothbrush, mouth wash, shaving cream",
e13649,2019/01/08,"mandarins, guava, peaches","mango juice, mineral water, chocolate milk, pineapple juice","facial wash, paper towel, shampoo, body lotion",
e13650,2019/01/14,"apricots, blueberries","guava juice, apple juice, sports drinks",toothbrush,"Willow, Avery, Benjamin"
e13653,2019/01/17,nectarines,"chocolate milk, guava juice, sports drinks, apple juice","facial wash, paper towel, toilet paper, shaving cream",
e13654,2019/01/18,"apples, nectarines, guava, blackberries","guava juice, apple juice","toothpaste, mouth wash","Emily, Andrew"
